"eixo_x_frequencias","alvo"
0.01,0.9999
0.06,0.9999
0.11,0.9999
0.16,0.936029032258064
0.21,0.876720276497696
0.26,0.872158064516129
0.31,0.863033640552995
0.36,0.831098156682028
0.41,0.803724884792627
0.46,0.776351612903226
0.51,0.753540552995392
0.56,0.744416129032258
0.61,0.71248064516129
0.66,0.666858525345622
0.71,0.639485253456221
0.76,0.621236405529954
0.81,0.571052073732719
0.86,0.548241013824885
0.91,0.520867741935484
0.96,0.484370046082949
1.01,0.466121198156682
1.06,0.438747926267281
1.11,0.429623502304147
1.16,0.41137465437788
1.21,0.393125806451613
1.26,0.370314746543779
1.31,0.347503686635945
1.36,0.333817050691244
1.41,0.31100599078341
1.46,0.301881566820277
1.51,0.279070506912442
1.56,0.269946082949309
1.61,0.247135023041475
1.66,0.238010599078341
1.71,0.206075115207373
1.76,0.19695069124424
1.81,0.155890783410138
1.86,0.146766359447005
1.91,0.142204147465438
1.96,0.128517511520737
2.01,0.114830875576037
2.06,0.11026866359447
2.11,0.11026866359447
2.16,0.11026866359447
2.21,0.101144239631336
2.26,0.0965820276497696
2.31,0.0965820276497696
2.36,0.0920198156682028
2.41,0.0920198156682028
2.46,0.0783331797235023
