"volatilidade" "risco" "distancia_euclidiana" "periodo" "sse" "a" "coeficiente_B" "i" "b_volatilidade" "cor"
0.925772764738051 "conservador" 0.0344464820084522 2008 0.0181402478775938 1.01412663423158 1.03920597425387 7 0.962068587917308 "green"
1.02053197949511 "moderado" 0.0802635535925784 2008 0.00581834117630385 1.0281578624185 1.00314980091428 1 1.02374645205718 "black"
1.03292072530493 "moderado" 0.0678748077827585 2008 0.0122748385584646 1.03380079516116 0.990361317733037 2 1.02296473062676 "black"
1.03322364885308 "moderado" 0.0675718842346085 2008 0.0129952604623517 1.04260713152978 1.01104772050709 8 1.04463841494692 "black"
1.07148720273062 "moderado" 0.0293083303570685 2008 0.0165477982288428 1.03546759439704 0.923796175931291 6 0.989835780441863 "black"
1.10277192959094 "moderado" 0.00197639650325154 2008 0.0944308891881423 1.13658247309294 0.914617237992513 4 1.00861421637814 "black"
1.36552898848696 "arrojado" 0.110298565683759 2008 0.0650058564114133 1.08543394979709 0.69567452845372 5 0.949963735155549 "red"
0.832594058482347 "conservador" 0.182729109516188 2009 0.00662789164024191 1.05000987713921 1.16601045899087 15 0.970813380284069 "green"
0.846242677501385 "conservador" 0.16908049049715 2009 0.0624617353430477 1.14012827360795 1.27188284780884 12 1.07632154659784 "green"
1.03544143093615 "conservador" 0.0201182629376144 2009 0.0199269694858814 1.06688419565461 1.01587707968851 9 1.05188121704791 "green"
1.13487596089828 "moderado" 0.00335699011783941 2009 0.0289098153862102 1.07060349490223 0.882927398108991 13 1.00201307933236 "black"
1.14740628193056 "moderado" 0.00917333091444061 2009 0.00814609279643165 1.03795164704518 0.778305864803583 16 0.893033038539031 "black"
1.17175308025841 "moderado" 0.0335201292422906 2009 0.0134455303991332 1.03530322842203 0.822180348286055 14 0.963392355632117 "black"
1.30693036904807 "arrojado" 0.0395698863639709 2009 0.0541827009662542 1.06420974837648 0.721305522298522 10 0.942696092454017 "red"
0.912236816905008 "conservador" 0.0182033446088008 2010 0.0460377096616709 1.1077154894009 1.1815833153882 17 1.0778838025378 "green"
1.0514941049 "moderado" 0.0344324622792811 2010 0.0248352418968517 1.09261913594685 0.979621142337489 24 1.03006585620327 "black"
1.05239233633133 "moderado" 0.0335342308479512 2010 0.0531025032887758 1.11114525496972 0.990146983764755 20 1.04202309755561 "black"
1.07007398399247 "moderado" 0.015852583186811 2010 0.0438155418155188 1.12640244627135 0.954107248950024 19 1.02096534504005 "black"
1.25774529920736 "arrojado" 0.0136881809125127 2010 0.04637710584737 1.0758110553176 0.776933110999289 22 0.977183968157907 "red"
1.2697065537858 "arrojado" 0.0256494354909529 2010 0.0408059259304695 1.07436660788614 0.736004713269571 21 0.934510008055615 "red"
1.29885403766449 "arrojado" 0.0547969193696427 2010 0.0468079836932267 1.07211370043995 0.749775514007452 18 0.973848953710546 "red"
1.00550126196149 "moderado" 0.0905019836855889 2011 0.0440415537997113 1.05137223619304 1.0097080200138 26 1.01526268833651 "black"
1.01341756816474 "moderado" 0.082585677482339 2011 0.0601915855692173 1.12659788984626 0.976873803584543 27 0.989981074432491 "black"
1.05561208761907 "moderado" 0.040391158028009 2011 0.0363281087562845 1.0657185623089 0.965265875930175 25 1.0189463263981 "black"
1.06664728094516 "moderado" 0.029355964701919 2011 0.0266809302533819 1.01848375323684 0.85260197126568 28 0.909425574379024 "black"
1.15217293637912 "moderado" 0.056169690732041 2011 0.0278302136893018 1.05055971148026 0.838485650634298 31 0.966080474203076 "black"
1.1738102076862 "moderado" 0.0778069620391211 2011 0.00614935512110403 1.04689939959517 0.823519271926956 29 0.966655327614168 "black"
1.19042633511942 "arrojado" 0.071637345029232 2011 0.0266588582524577 1.08958289343503 0.842858698503814 32 1.00336119148342 "red"
1.32100095864352 "arrojado" 0.0589372784948681 2011 0.0609371497031637 1.08109000985291 0.73091534955865 30 0.965539877454239 "red"
0.906723846113853 "conservador" 0.0275122667071552 2012 0.00847996504121254 1.0589702722959 1.1460864096439 35 1.03918387733113 "green"
0.9588340146454 "conservador" 0.0796224352387022 2012 0.029774037666644 1.05498221266621 1.05677871186897 40 1.01327537489312 "green"
1.10656230353259 "moderado" 0.0309192401764919 2012 0.00921561541879781 1.02665789057807 0.858662674427697 33 0.95016374697217 "black"
1.14341530179856 "moderado" 0.0677722384424619 2012 0.00817765736792547 1.04446784333508 0.824895427506805 37 0.943198054194947 "black"
1.15021990400268 "moderado" 0.0745768406465819 2012 0.0635658429771296 1.07257181469392 0.856062740165976 39 0.984660402813978 "black"
1.23620661142095 "arrojado" 0.00753929658548569 2012 0.060349760375563 1.08380679509215 0.77564132944766 36 0.958852939554531 "red"
1.23690831276066 "arrojado" 0.00683759524577576 2012 0.0250272908848475 1.05973550491754 0.789094238949443 34 0.976037223708115 "red"
1.35879275166745 "arrojado" 0.115046843661014 2012 0.0353737978655645 1.07119462638473 0.688595753846449 38 0.935658919155538 "red"
1.06830106527626 "conservador" 0.0743484102973602 2013 0.0304813381593174 1.05462064453679 0.934680584970833 47 0.998520264617383 "green"
1.08932264887779 "moderado" 0.0670444327620849 2013 0.0270271103593922 1.04352427886127 0.896712363552929 48 0.976809087146943 "black"
1.10812433459979 "moderado" 0.048242747040085 2013 0.041815163410882 1.09702236386312 0.931702066439147 43 1.03244173241813 "black"
1.1145722190665 "moderado" 0.0417948625733751 2013 0.00266859620485539 1.0310423460366 0.886449816497434 42 0.988012339064632 "black"
1.13695429815033 "moderado" 0.019412783489545 2013 0.038097946323769 1.06004823162631 0.877413666820439 41 0.99757923974734 "black"
