"sse" "a" "coeficiente_B" "volatilidade" "grupo" "beta" "setor" "b_volatilidade" "risco" "distancia_euclidiana" "cor" "risco_beta"
0.0469929284393484 1.08622369492949 1.42428041845573 0.711071082502435 1 0.271740128006977 "Bens Indls / Mat Transporte" 1.01276461893834 "moderado" 0.199796055565283 "black" "green"
0.00784212927701114 1.04402258076966 1.12315471559139 0.887219500850496 1 0.807034545653322 "Cons N Básico / Alimentos Processados" 0.996484766144873 "moderado" 0.101329647299057 "black" "green"
0.0469929284393484 1.08622369492949 1.42428041845573 0.711071082502435 1 0.271740128006977 "Bens Indls / Mat Transporte" 1.01276461893834 "moderado" 0.101329647299057 "black" "green"
0.00784212927701114 1.04402258076966 1.12315471559139 0.887219500850496 1 0.807034545653322 "Cons N Básico / Alimentos Processados" 0.996484766144873 "moderado" 0.199796055565283 "black" "green"
0.019534950149435 1.08549127646608 1.81066561801259 0.5500911722576 1 0.631110268585565 "Cons N Cíclico / Bebidas" 0.996031172379076 "moderado" 0.101329647299057 "black" "green"
0.0290169618684043 1.05385142978646 1.00760315549407 0.957341975616319 1 0.669354571587206 "Cons N Cíclico / Fumo" 0.964620795517929 "moderado" 0.586181255122143 "black" "green"
0.016540593735702 1.02637200756852 0.839577706550028 1.09327632656969 1 0.729686216001026 "Cons N Cíclico / Pr Pessoal Limp" 0.917890430886822 "conservador" 0.216881207396377 "green" "green"
0.00693589943575595 1.038419888331 1.59786166381426 0.742330198032848 1 1.27740329432804 "Const e Transp / Constr e Engenh" 1.18614096532834 "moderado" 1.0279641968672 "black" "red"
0.0207978949984536 1.07403863091179 2.14670093078791 0.468172423017716 1 0.694518288480409 "Consumo Cíclico / Tecid Vest Calç" 1.00502617626136 "arrojado" 0.373377300923813 "red" "green"
0.0461793101579262 1.09079567309056 1.0441776225971 0.972818983115325 1 0.788270352298724 "Utilidade Públ / Água Saneamento" 1.01579581300668 "conservador" 1.362997949701 "green" "green"
0.0446407245359071 1.08346856539201 1.47604246665935 0.672702539806173 2 0.184988541511188 "Bens Indls / Mat Transporte" 0.992937516183515 "conservador" 0.823364280820131 "green" "green"
0.00863414190488736 1.03976475359758 1.19973352186132 0.824461442347295 2 0.767757310274283 "Cons N Básico / Alimentos Processados" 0.989134029866186 "moderado" 0.391499436757881 "black" "green"
0.0267278763599675 1.09709150129145 1.83538849176167 0.548896408568815 2 0.599565544147613 "Cons N Cíclico / Bebidas" 1.00743815145652 "moderado" 0.0247508410291271 "black" "green"
0.0189689235155669 1.04909827781646 1.04140979888702 0.916982457218742 2 0.657915590189814 "Cons N Cíclico / Fumo" 0.954954516355093 "moderado" 0.610904128871223 "black" "green"
0.0202603629959506 1.02753773071988 0.859851491259528 1.07177765127795 2 0.718872065292228 "Cons N Cíclico / Pr Pessoal Limp" 0.921569611749978 "conservador" 0.183074564003427 "green" "green"
0.0031966588222105 1.01690123357687 1.63581709029218 0.721377528852316 2 1.3576936243452 "Const e Transp / Constr e Engenh" 1.18004169024936 "moderado" 1.0076904121577 "black" "red"
0.0253248178724415 1.08086695622678 2.15356316270273 0.466547538680083 2 0.705988738168948 "Consumo Cíclico / Tecid Vest Calç" 1.00473959295105 "arrojado" 0.411332727401733 "red" "green"
0.0540871620523806 1.09409408218442 1.05796863602512 0.954802990656545 2 0.796803657401292 "Utilidade Públ / Água Saneamento" 1.01015161769761 "conservador" 1.36986018161582 "green" "green"
0.0645152251640772 1.10120037906566 1.49428132487151 0.668051989517347 3 0.195305785891579 "Bens Indls / Mat Transporte" 0.998257611979031 "conservador" 0.809573267392111 "green" "green"
0.00773976724239614 1.0361424843327 1.29241624521794 0.762592753987139 3 0.714919813150881 "Cons N Básico / Alimentos Processados" 0.985587263738468 "moderado" 0.373260578545721 "black" "green"
0.0303959929113425 1.10098890877671 1.87599073033499 0.536050315082037 3 0.559579568498268 "Cons N Cíclico / Bebidas" 1.00562542208705 "moderado" 0.0679318823274928 "black" "green"
0.033654753851698 1.06008187910335 1.06905902420475 0.904805787630115 3 0.638196419659184 "Cons N Cíclico / Fumo" 0.967290792418656 "moderado" 0.651506367444543 "black" "green"
0.024882069485209 1.020940332134 0.905078660051371 1.02263284630634 3 0.68005879431262 "Cons N Cíclico / Pr Pessoal Limp" 0.925563166259464 "conservador" 0.155425338685697 "green" "green"
0.0066152112394189 1.03882781817696 1.72292124749712 0.639262856345086 3 1.31109917508792 "Const e Transp / Constr e Engenh" 1.10139955793264 "moderado" 0.96246324336586 "black" "red"
0.0208865457515733 1.07440240452962 2.19846483743839 0.456518806939699 3 0.73169019759787 "Consumo Cíclico / Tecid Vest Calç" 1.00364054468625 "arrojado" 0.498436884606673 "red" "green"
0.0482869969827341 1.08250169143039 1.05228747401953 0.946270698631321 3 0.830603717837321 "Utilidade Públ / Água Saneamento" 0.995748803201449 "conservador" 1.41476185635148 "green" "green"
0.0622451507225214 1.09535163751199 1.48547494159567 0.677513727860649 4 0.27762064850023 "Bens Indls / Mat Transporte" 1.00642966532406 "conservador" 0.815254429397701 "green" "green"
0.0108189980824048 1.05741955635042 1.44690818930154 0.688874271286772 4 0.651790164646984 "Cons N Básico / Alimentos Processados" 0.996737824523958 "moderado" 0.382066961821561 "black" "green"
0.0312667595252847 1.10750663824083 2.0059062877243 0.507508985247819 4 0.513577923512357 "Cons N Cíclico / Bebidas" 1.01801546458518 "moderado" 0.222423826411093 "black" "green"
