"eixo_x_frequencias","alvo"
0.01,0.9999
0.06,0.974515384615385
0.11,0.923746153846154
0.16,0.898361538461539
0.21,0.864515384615385
0.26,0.847592307692308
0.31,0.822207692307692
0.36,0.813746153846154
0.41,0.796823076923077
0.46,0.771438461538462
0.51,0.737592307692308
0.56,0.737592307692308
0.61,0.737592307692308
0.66,0.720669230769231
0.71,0.661438461538462
0.76,0.644515384615385
0.81,0.627592307692308
0.86,0.585284615384615
0.91,0.585284615384615
0.96,0.5599
1.01,0.526053846153846
1.06,0.483746153846154
1.11,0.458361538461538
1.16,0.416053846153846
1.21,0.399130769230769
1.26,0.382207692307692
1.31,0.382207692307692
1.36,0.348361538461539
1.41,0.3399
1.46,0.322976923076923
1.51,0.314515384615385
1.56,0.289130769230769
1.61,0.263746153846154
1.66,0.238361538461538
1.71,0.2299
1.76,0.212976923076923
1.81,0.187592307692308
1.86,0.187592307692308
1.91,0.179130769230769
1.96,0.162207692307692
2.01,0.162207692307692
2.06,0.153746153846154
2.11,0.136823076923077
2.16,0.136823076923077
2.21,0.136823076923077
2.26,0.136823076923077
2.31,0.128361538461538
2.36,0.128361538461538
2.41,0.128361538461538
2.46,0.1199
