"sse" "a" "coeficiente_B" "volatilidade" "grupo" "var_1" "var_5" "var_10" "setor" "b_volatilidade"
0.0469929284393484 1.08622369492949 1.42428041845573 0.711071082502435 1 -0.599161864404177 -0.215334395766471 -0.0107173925030907 "Bens Indls / Mat Transporte" 1.01276461893834
0.00784212927701114 1.04402258076966 1.12315471559139 0.887219500850496 1 -0.997641353467324 -0.445478951998817 -0.151123218928966 "Cons N Básico / Alimentos Processados" 0.996484766144873
0.0290169618684043 1.05385142978646 1.00760315549407 0.957341975616319 1 -0.84392758544154 -0.316252916912334 -0.0349515036610665 "Cons N Cíclico / Fumo" 0.964620795517929
0.016540593735702 1.02637200756852 0.839577706550028 1.09327632656969 1 -0.9962411693111 -0.38412542835707 -0.0578087918513599 "Cons N Cíclico / Pr Pessoal Limp" 0.917890430886822
0.00693589943575595 1.038419888331 1.59786166381426 0.742330198032848 1 -2.98204896608329 -1.89100707907783 -1.30937668627079 "Const e Transp / Constr e Engenh" 1.18614096532834
0.0207978949984536 1.07403863091179 2.14670093078791 0.468172423017716 1 -0.437610828817062 -0.172265270603929 -0.0308105353721779 "Consumo Cíclico / Tecid Vest Calç" 1.00502617626136
0.0461793101579262 1.09079567309056 1.0441776225971 0.972818983115325 1 -0.901043408519633 -0.352102962429699 -0.0594648418500425 "Utilidade Públ / Água Saneamento" 1.01579581300668
0.0446407245359071 1.08346856539201 1.47604246665935 0.672702539806173 2 -0.577286528786355 -0.211107261843474 -0.0158984496003965 "Bens Indls / Mat Transporte" 0.992937516183515
0.00863414190488736 1.03976475359758 1.19973352186132 0.824461442347295 2 -0.905919910656638 -0.399011657380415 -0.128780743259054 "Cons N Básico / Alimentos Processados" 0.989134029866186
0.0189689235155669 1.04909827781646 1.04140979888702 0.916982457218742 2 -0.87223497578295 -0.348090929662849 -0.0686716781535995 "Cons N Cíclico / Fumo" 0.954954516355093
0.0202603629959506 1.02753773071988 0.859851491259528 1.07177765127795 2 -0.950298264045452 -0.357939262690579 -0.0421548709597996 "Cons N Cíclico / Pr Pessoal Limp" 0.921569611749978
0.0031966588222105 1.01690123357687 1.63581709029218 0.721377528852316 2 -3.01398001648397 -1.91972205688362 -1.3363771876766 "Const e Transp / Constr e Engenh" 1.18004169024936
0.0253248178724415 1.08086695622678 2.15356316270273 0.466547538680083 2 -0.40284832354677 -0.148162304674728 -0.0123901304224794 "Consumo Cíclico / Tecid Vest Calç" 1.00473959295105
0.0540871620523806 1.09409408218442 1.05796863602512 0.954802990656545 2 -0.86857915545739 -0.334426694130234 -0.049671993507996 "Utilidade Públ / Água Saneamento" 1.01015161769761
0.0645152251640772 1.10120037906566 1.49428132487151 0.668051989517347 3 -0.501919826276436 -0.159181291503812 0.0235313531564677 "Bens Indls / Mat Transporte" 0.998257611979031
0.00773976724239614 1.0361424843327 1.29241624521794 0.762592753987139 3 -0.836185571804822 -0.367829895701298 -0.118151217815546 "Cons N Básico / Alimentos Processados" 0.985587263738468
0.033654753851698 1.06008187910335 1.06905902420475 0.904805787630115 3 -0.840631292223272 -0.329312524359723 -0.0567303812319778 "Cons N Cíclico / Fumo" 0.967290792418656
0.024882069485209 1.020940332134 0.905078660051371 1.02263284630634 3 -0.927011234634878 -0.355870847653376 -0.051398020730322 "Cons N Cíclico / Pr Pessoal Limp" 0.925563166259464
0.0066152112394189 1.03882781817696 1.72292124749712 0.639262856345086 3 -2.21502781589367 -1.37887485082882 -0.933124799149088 "Const e Transp / Constr e Engenh" 1.10139955793264
0.0208865457515733 1.07440240452962 2.19846483743839 0.456518806939699 3 -0.413825662917258 -0.158861753257739 -0.0229414364549599 "Consumo Cíclico / Tecid Vest Calç" 1.00364054468625
0.0482869969827341 1.08250169143039 1.05228747401953 0.946270698631321 3 -0.896035735226349 -0.356339479967283 -0.0686294033135089 "Utilidade Públ / Água Saneamento" 0.995748803201449
0.0622451507225214 1.09535163751199 1.48547494159567 0.677513727860649 4 -0.555036601811385 -0.193965943251379 -0.00148051123395443 "Bens Indls / Mat Transporte" 1.00642966532406
0.0108189980824048 1.05741955635042 1.44690818930154 0.688874271286772 4 -0.684834538512922 -0.282412071305407 -0.0678821431110785 "Cons N Básico / Alimentos Processados" 0.996737824523958
0.038912595034841 1.05264261031251 1.12877064666888 0.848902935973075 4 -0.787881114993214 -0.308391814657569 -0.052777842891151 "Cons N Cíclico / Fumo" 0.958216715997438
0.0242276091400883 1.01724609406167 0.960302716499506 0.966791826997239 4 -0.901382692108918 -0.354108485384906 -0.0623586308456779 "Cons N Cíclico / Pr Pessoal Limp" 0.928412817754969
0.0141999433988078 1.05707554831786 1.8440008412875 0.542446971186192 4 -0.52030468829287 -0.208975866794806 -0.0430076240566016 "Const e Transp / Constr e Engenh" 1.00027267122119
0.0249480469697349 1.08483437032837 2.36280684776432 0.431537803302179 4 -0.384323997358656 -0.145320566369396 -0.0179087216875632 "Consumo Cíclico / Tecid Vest Calç" 1.01964047671156
0.0618547017069388 1.09332031370724 1.09377907824293 0.921079417070703 4 -0.83678031201019 -0.321822379051591 -0.0473002104775875 "Utilidade Públ / Água Saneamento" 1.00745739579213
0.0664787554097651 1.08406053951937 1.4486854101588 0.68413213834831 5 -0.589096230847036 -0.216109104321361 -0.0172710473256521 "Bens Indls / Mat Transporte" 0.991092247445939
0.0120614630447734 1.05267606183976 1.48157677922662 0.670884853865494 5 -0.677882343555949 -0.282766421314723 -0.072131585205694 "Cons N Básico / Alimentos Processados" 0.99396742102196
