"volatilidade" "risco" "distancia_euclidiana" "sse_volatilidade" "periodo" "sse" "a" "coeficiente_B" "setor" "b_volatilidade" "cor"
0.569139722842045 "conservador" 0.133636884857066 0.0178588169943006 2008 0.187715294108005 1.23169845195197 1.75905016259812 "Cons N Cíclico / Bebidas" 1.00114532200635 "red"
0.925772764738051 "conservador" 0.22299615703894 0.0497272860541358 2008 0.0181402478775938 1.01412663423158 1.03920597425387 "Consumo Cíclico / Tecid Vest Calç" 0.962068587917308 "red"
1.02053197949511 "arrojado" 0.14083505619554 0.019834513053601 2008 0.00581834117630385 1.0281578624185 1.00314980091428 "Bens Indls / Mat Transporte" 1.02374645205718 "red"
1.03292072530493 "arrojado" 0.12844631038572 0.0164984546517048 2008 0.0122748385584646 1.03380079516116 0.990361317733037 "Cons N Básico / Alimentos Processados" 1.02296473062676 "red"
1.03322364885308 "arrojado" 0.12814338683757 0.0164207275902032 2008 0.0129952604623517 1.04260713152978 1.01104772050709 "Utilidade Públ / Água Saneamento" 1.04463841494692 "red"
1.07148720273062 "arrojado" 0.0898798329600303 0.00807838437292295 2008 0.0165477982288428 1.03546759439704 0.923796175931291 "Const e Transp / Constr e Engenh" 0.989835780441863 "green"
1.10277192959094 "arrojado" 0.0585951060997103 0.00343338645883631 2008 0.0944308891881423 1.13658247309294 0.914617237992513 "Cons N Cíclico / Fumo" 1.00861421637814 "red"
1.36552898848696 "arrojado" 0.20416195279631 0.0416821029696026 2008 0.0650058564114133 1.08543394979709 0.69567452845372 "Cons N Cíclico / Pr Pessoal Limp" 0.949963735155549 "red"
0.646542932770977 "conservador" 0.198464384450227 0.0393881118952076 2009 0.0611709171523634 1.16772810151406 1.55086659237056 "Cons N Cíclico / Bebidas" 1.00270183496779 "red"
0.832594058482347 "arrojado" 0.304980146905736 0.0930128900066443 2009 0.00662789164024191 1.05000987713921 1.16601045899087 "Consumo Cíclico / Tecid Vest Calç" 0.970813380284069 "red"
0.846242677501385 "arrojado" 0.291331527886698 0.0848740591407979 2009 0.0624617353430477 1.14012827360795 1.27188284780884 "Cons N Cíclico / Fumo" 1.07632154659784 "red"
1.03544143093615 "arrojado" 0.102132774451933 0.0104311036172494 2009 0.0199269694858814 1.06688419565461 1.01587707968851 "Bens Indls / Mat Transporte" 1.05188121704791 "red"
1.13487596089828 "arrojado" 0.00269824448980316 7.28052332675311e-06 2009 0.0289098153862102 1.07060349490223 0.882927398108991 "Cons N Cíclico / Pr Pessoal Limp" 1.00201307933236 "red"
1.14740628193056 "arrojado" 0.00983207654247686 9.66697291371238e-05 2009 0.00814609279643165 1.03795164704518 0.778305864803583 "Utilidade Públ / Água Saneamento" 0.893033038539031 "green"
1.17175308025841 "arrojado" 0.0341788748703269 0.00116819548740146 2009 0.0134455303991332 1.03530322842203 0.822180348286055 "Const e Transp / Constr e Engenh" 0.963392355632117 "red"
1.30693036904807 "arrojado" 0.169356163659987 0.0286815101696283 2009 0.0541827009662542 1.06420974837648 0.721305522298522 "Cons N Básico / Alimentos Processados" 0.942696092454017 "red"
0.306823247439287 "conservador" 0.435360849293509 0.189539069097566 2010 0.00786093855413814 1.07292842396918 4.10766535712187 "Consumo Cíclico / Tecid Vest Calç" 1.26032722426599 "red"
0.912236816905008 "conservador" 0.170052720172212 0.0289179276379685 2010 0.0460377096616709 1.1077154894009 1.1815833153882 "Bens Indls / Mat Transporte" 1.0778838025378 "red"
1.0514941049 "arrojado" 0.10075581270724 0.0101517337942964 2010 0.0248352418968517 1.09261913594685 0.979621142337489 "Utilidade Públ / Água Saneamento" 1.03006585620327 "red"
1.05239233633133 "arrojado" 0.0998575812759102 0.009971536538275 2010 0.0531025032887758 1.11114525496972 0.990146983764755 "Cons N Cíclico / Fumo" 1.04202309755561 "red"
1.07007398399247 "arrojado" 0.08217593361477 0.00675288406545909 2010 0.0438155418155188 1.12640244627135 0.954107248950024 "Cons N Cíclico / Bebidas" 1.02096534504005 "red"
1.25774529920736 "arrojado" 0.10549538160012 0.0111292755389549 2010 0.04637710584737 1.0758110553176 0.776933110999289 "Const e Transp / Constr e Engenh" 0.977183968157907 "green"
1.2697065537858 "arrojado" 0.11745663617856 0.0137960613823826 2010 0.0408059259304695 1.07436660788614 0.736004713269571 "Cons N Cíclico / Pr Pessoal Limp" 0.934510008055615 "red"
1.29885403766449 "arrojado" 0.14660412005725 0.0214927680177605 2010 0.0468079836932267 1.07211370043995 0.749775514007452 "Cons N Básico / Alimentos Processados" 0.973848953710546 "red"
1.00550126196149 "arrojado" 0.155112181660551 0.0240597888994956 2011 0.0440415537997113 1.05137223619304 1.0097080200138 "Cons N Básico / Alimentos Processados" 1.01526268833651 "red"
1.01341756816474 "arrojado" 0.147195875457301 0.0216666257516412 2011 0.0601915855692173 1.12659788984626 0.976873803584543 "Cons N Cíclico / Bebidas" 0.989981074432491 "red"
1.05561208761907 "arrojado" 0.105001356002971 0.0110252847624626 2011 0.0363281087562845 1.0657185623089 0.965265875930175 "Bens Indls / Mat Transporte" 1.0189463263981 "red"
1.06664728094516 "arrojado" 0.0939661626768806 0.00882963972821799 2011 0.0266809302533819 1.01848375323684 0.85260197126568 "Cons N Cíclico / Fumo" 0.909425574379024 "red"
1.15217293637912 "arrojado" 0.00844050724292056 7.12421625177944e-05 2011 0.0278302136893018 1.05055971148026 0.838485650634298 "Consumo Cíclico / Tecid Vest Calç" 0.966080474203076 "red"
