"","coeficiente_B","sse","volatilidade","mape","b_volatilidade"
"1",0.6855,0.407579763938254,1.33050575562156,0.190975580163644,0.912061695478579
"2",0.5248,1.79868410018963,1.21974788029207,0.455763308336248,0.640123687577278
"3",0.3229,0.338026060836667,1.83748156933106,0.17165817671417,0.593322798736999
"4",0.9146,0.0990823682949634,1.13763267523337,0.124035002386878,1.04047884476844
"5",0.4281,0.382534174789565,1.66678547223121,0.206298826290082,0.713550860662181
"6",0.6775,0.307384440808806,1.29063806313511,0.260544554207975,0.874407287774037
"7",1.1347,0.0575851681187434,1.00691172560201,0.0837194742327369,1.1425427350406
"8",0.537,0.0969190038303639,1.51578454026409,0.102439270664349,0.813976298121816
"9",0.6114,0.592543983992279,1.44146679288124,0.265874625149119,0.88131279716759
"10",0.618,0.138792457768718,1.42935667829079,0.12771546826174,0.883342427183708
"11",0.1867,0.707586340178529,2.2266138908281,0.231694100318929,0.415708813417606
"12",0.5863,0.304175565104363,1.50936497372087,0.221042322532822,0.884940684092546
"13",0.939,0.0621894278423581,1.11827924789281,0.0712525362039939,1.05006421377135
"14",0.7472,0.279864658578547,1.22027792839501,0.160177979617157,0.911791668096751
"15",0.6198,1.28983861817778,1.02039059644385,0.358455504455304,0.632438091675898
"16",0.6081,0.1860488165533,1.27053218349882,0.146350400453418,0.772610620785632
"17",0.7188,0.251533189978598,1.36332400093191,0.210772171165179,0.979957291869857
"18",0.8091,0.205407050942759,1.21938516076477,0.180589865222826,0.986604533574776
"19",1.0537,0.0781671089021876,0.975887410718654,0.112059059224596,1.02829256467425
"20",0.8363,0.0688097001754555,1.16829948157127,0.0984599101720339,0.977048856438053
"21",0.7633,0.0898369705147705,1.2644182271944,0.0825427883062279,0.965130432817485
"22",0.7205,1.00774576315211,1.27417876585201,0.37741875891941,0.918045800796373
"23",1.178,0.0433522269845502,0.95927716312937,0.0682506867290605,1.1300284981664
"24",0.5967,0.661995776098472,1.46547712369136,0.295470471003555,0.874450199706635
"25",0.7095,0.124224824081652,1.34315792844181,0.124415081791466,0.952970550229464
"26",0.3904,0.343379495980806,1.82853342425486,0.177895194977695,0.713859448829097
"27",0.7614,0.41762489739646,1.11681460499168,0.248510002986145,0.850342640240665
"28",0.6612,1.11572174817607,0.838577980123963,0.360771231113992,0.554467760457964
"29",1.3236,0.151057533073717,0.947686483583055,0.128175619820869,1.25435782967053
"30",0.6605,0.0443663535694847,1.35132703352723,0.0747487598217119,0.892551505644735
"31",0.64,0.544292245602782,1.42638044401605,0.277253048763175,0.912883484170272
"32",0.545,0.608150574192209,1.5974585301071,0.292526157733818,0.87061489890837
"33",0.788,0.0719108652659944,1.23582641807569,0.0972487437763388,0.973831217443644
"34",0.6715,0.153692594009546,1.38984340639154,0.105339266768329,0.933279847391919
"35",0.9309,0.263073626428174,1.10471185929673,0.164465856390872,1.02837626981933
"36",0.8342,0.201500566911264,1.22613023537247,0.165505682743904,1.02283784234771
"37",0.4454,0.701871088209379,1.67398403349292,0.277361203901346,0.745592488517747
"38",0.6775,0.130218355607085,1.21127842002295,0.119666527706869,0.820641129565549
"39",1.0349,0.0460105858985182,1.02570380139199,0.0719825745773229,1.06150086406057
"40",0.951799999999999,0.0921702700544603,0.983557073478729,0.103385879456794,0.936149622537053
"41",2.5731,0.399731311965943,0.427538605149148,0.200029660110255,1.10009958490927
"42",0.967999999999999,0.134198856521652,1.01071204530655,0.166256677311182,0.978369259856739
"43",0.6754,0.434930881841943,1.38458938467986,0.286985572096531,0.935151670412777
"44",0.9234,0.298950051349012,1.13145968209482,0.1947190501103,1.04478987044636
"45",1.3525,0.0630451605322298,0.851932785234284,0.0932900006706308,1.15223909202937
"46",0.811,0.0737591750393995,1.21539660019496,0.11435244108166,0.985686642758113
"47",0.6145,0.472643468285619,1.43125785039013,0.209749286295733,0.879507949064735
"48",0.7906,0.431097518838359,1.26038150877089,0.273094462554724,0.996457620834266
"49",0.986899999999999,0.140679416417153,1.0848804683933,0.178975803592734,1.07066853425735
"50",0.5989,0.546661709974451,1.41780576039633,0.243285861166371,0.849123869901362
"51",0.6901,0.0529468009244348,1.22375199122015,0.072744566374935,0.844511249141026
"52",0.4384,0.221472406224176,1.69894699051136,0.131627368700195,0.74481836064018
"53",0.9076,0.335412223036506,1.14046831474254,0.242074509956946,1.03508904246033
"54",0.4533,2.53407687298536,1.09838196556025,0.706407728760091,0.497896544988461
"55",0.6049,0.211268218512088,1.33620251921274,0.140226353401153,0.808268903871786
"56",0.602,0.105833832491814,1.41381032526578,0.134574750948653,0.85111381581
"57",0.6932,0.169042955298296,1.31967532245341,0.151305571772114,0.914798933524704
"58",0.6032,0.118307036946233,1.47768087364275,0.137974625247999,0.891337102981307
"59",0.6157,0.202234870778253,1.44460391858379,0.181600117619604,0.889442632672039
"60",0.5333,0.219377902507594,1.54656425957679,0.186635187410204,0.824782719632302
"61",0.5797,0.468735726493769,1.47652699987404,0.229149238651508,0.855942701826981
"62",0.3767,0.293100011456278,1.83091383122284,0.186737398133846,0.689705240221644
"63",0.4136,0.815287253410326,1.70487598473111,0.27944278469577,0.705136707284787
"64",1.6259,0.172846551388343,0.792079207620841,0.179326279085073,1.28784158367073
"65",0.5017,0.29093262403332,1.65149466980446,0.172905202383676,0.828554875840898
"66",0.5286,0.303785856135195,1.52675515959611,0.182682058336659,0.807042777362504
"67",0.5833,2.68468542806203,0.965570417518713,0.769509779873309,0.563217224538665
"68",0.59,0.200869633730489,1.3307163325284,0.169668295282626,0.785122636191756
