"Bens Indls / Mat Transporte" "Cons N Básico / Alimentos Processados" "Cons N Cíclico / Fumo" "Cons N Cíclico / Pr Pessoal Limp" "Const e Transp / Constr e Engenh" "Consumo Cíclico / Tecid Vest Calç" "Utilidade Públ / Água Saneamento"
11.69 25.365 27.77 47.29 9.24 38.67 27.45
11.765 25.455 28.65 47.68 9.44166666666667 38.85 27.13
11.165 24.7075 27.39 46.2 9.24 38.03 26.79
11.35 24.9125 27.77 44.79 9.19666666666667 37.1 28.09
11.755 24.775 28.03 46.11 9.35666666666667 37.61 28.14
11.895 24.9075 28.2 46.32 9.33333333333333 37 27.7
11.445 24.5175 27.9 45.92 9.40166666666667 35.7 28.12
11.45 24.47 28.42 46.94 9.46 34.75 29.72
11.28 24.44 28.42 46.82 9.27833333333333 34.64 29.6
11.06 23.5 28.42 45.69 9.19833333333333 34.69 29.43
11.54 23.8475 28.46 45.27 9.46833333333333 35.07 29.82
11.49 23.2575 28.42 44.4 9.44666666666667 34.26 28.94
11.905 23.975 28.98 45.69 9.84 34.87 29.66
12.175 24.37 28.89 45.79 9.96166666666667 35.42 29.43
12.17 24.295 29.07 46.38 10.0733333333333 35.54 30.17
12.11 24.15 29.31 45.88 9.92833333333333 35.79 29.88
11.91 24.22 29.01 46.3 9.95333333333333 35.73 29.87
11.77 23.89 29.09 45.64 9.85833333333333 35.55 30.18
11.56 24.0575 28.14 44.69 9.47833333333333 33.94 29.93
11.645 24.23 28.37 45.64 9.39 33.41 29.82
11.92 24.1275 28.23 44.61 9.035 31.67 29.75
11.87 24.54 27.26 45.31 9.105 32.16 29.75
12.03 24.61 27.08 44.98 8.94333333333333 33.54 27.88
12.085 24.5925 26.71 45.11 9.00333333333333 33.83 27.87
11.715 23.9425 26.67 44.51 8.935 33.36 27.9
11.7 23.9375 26.8 46.48 8.94 34.41 27.06
11.77 24.18 26.84 46.21 8.96 34.13 26.37
11.715 24.14 27.4 47.24 9.00666666666667 34.09 26.31
11.62 24.2825 27.67 46.48 9.195 34.46 26.41
11.71 24.68 27.9 45.72 9.36333333333333 34.53 27.26
11.565 24.755 28.16 45.64 9.21 34.55 27.1
11.71 24.625 28.03 46.85 9.595 35.3 27.5
11.81 24.7475 28.05 47.64 9.81833333333333 35.92 27.59
11.54 24.7875 28.61 48.69 9.98 36.08 27.93
11.67 24.6225 28.89 47.81 9.95166666666667 36.56 28.03
11.56 24.88 28.99 47.57 9.82 36.38 28.08
11.45 24.7825 28.91 47.67 9.95666666666667 36.56 28.09
11.4 24.8275 29.12 49.22 10.04 36.39 28.12
11.23 24.88 28.59 48.3 9.75166666666667 35.23 27.72
11.205 24.57 28.98 49.36 10.0616666666667 35.41 28.05
11.37 24.3475 28.81 49.12 10.0866666666667 35.74 28.48
11.285 24.5825 28.92 48.09 10.2866666666667 35.11 28.47
11.275 24.3925 28.75 49.12 10.235 35.87 28.33
11.025 24.37 28.84 49.44 10.055 36.28 28
11.115 24.3325 29.16 49.22 9.95666666666667 36.17 27.58
11.175 24.5525 28.33 49.25 10.0183333333333 35.96 27.23
10.925 24.065 27.93 49.15 9.835 35.19 27.79
10.875 24.21 28.38 49.5 9.99333333333333 35.1 28.08
11.01 24.59 28.43 49.33 10.225 35.37 28.09
11.02 24.295 28.25 49.45 10.2933333333333 35.17 27.85
11.025 24.25 28.7 48.14 10.4433333333333 35.23 27.55
10.96 24.17 29.43 49.51 10.6033333333333 36.55 27.32
10.93 24.3025 29.52 49.4 10.6083333333333 35.81 27.23
10.905 24.225 29.35 49.31 10.6466666666667 35.65 27.19
11.065 24.7325 29.72 49.11 10.6083333333333 35.65 27.39
11.26 24.5725 29.77 47.81 10.7583333333333 35.2 27.79
11.27 24.945 29.76 48.08 10.8716666666667 35.34 28.03
11.175 24.825 29.8 49.02 10.8083333333333 34.74 27.86
11.23 24.8525 29.6 49.7 10.89 34.91 26.86
11.205 25.14 30.17 49.48 10.745 34.62 26.61
11.08 25.08 29.94 49.02 10.655 33.52 26.31
11.035 25.155 30.15 48.83 10.8033333333333 33.86 26.85
10.89 24.9325 29.31 48.56 10.7933333333333 33.22 26.75
10.88 25.0225 29.57 50.81 10.9966666666667 33.36 26.93
10.245 24.8825 29.76 51.11 11.22 34.17 26.79
10.075 24.48 29.47 51.62 11.1116666666667 35.1 27.43
10.09 24.4575 29.47 52.06 11.2133333333333 35.1 27.26
10.005 24.495 29.62 51.23 11.1516666666667 34.91 26.88
9.95 24.385 29.34 51.59 11.2466666666667 35.45 26.98
9.96 23.72 29.28 51.97 11.055 34.73 26.29
9.945 23.5975 28.7 50.81 11.1283333333333 33.63 25.71
10.08 23.935 28.71 51.68 11.0983333333333 35.03 26.24
9.84 23.7875 28.75 52.33 10.985 35.78 25.98
9.875 23.815 29.4 52.66 11.0683333333333 35.05 25.75
9.845 23.955 29.14 50.68 11.1866666666667 39.79 25.36
9.72 23.5725 29.07 50.86 10.9633333333333 39.36 25.21
10.07 23.55 29.13 53.34 11.1283333333333 40.81 25.57
10.115 23.515 29.12 55.18 11.2966666666667 40.87 25.34
10.275 23.44 28.66 54.73 11.575 40.4 25.36
10.365 23.2475 28.94 54.59 11.3066666666667 39.58 25.76
10.1 22.7575 28.21 54.03 11.1133333333333 38.38 25.77
10.02 22.9525 27.66 53.42 11.0316666666667 37.7 25.66
10.1 23.105 28.48 52.29 11.4183333333333 37.93 25.69
10.115 22.9425 28.17 51.82 11.3416666666667 38.39 25.72
10.07 22.8925 28.39 52.52 11.3733333333333 39.07 25.75
9.84 22.7375 28.5 52.66 11.1683333333333 40.21 25.32
9.89 22.6275 29.51 52.8 11.1166666666667 40.99 25.48
9.505 22.355 30.27 53.27 10.8833333333333 40.95 25.2
9.17 22.045 29.41 52.75 10.7766666666667 41.92 25.36
9.36 21.9025 29.25 53.53 11.035 41.86 24.84
9.62 21.86 29.58 53.54 11.0316666666667 42.26 25.2
9.65 21.6075 29.53 53.67 11.0516666666667 42.28 25.33
9.645 21.3775 28.85 53.27 11.1 41.31 25.34
9.595 21.3225 28.48 52.8 11.0833333333333 41.93 25.7
9.435 21.3925 28.38 52.7 10.8983333333333 41.98 25.07
9.695 21.2525 28.37 51.77 10.73 41.33 25.4
9.735 21.4325 28.73 52.42 10.65 41.56 25.74
9.555 21.8575 29.36 52.34 10.6616666666667 42.79 25.99
9.335 22.0425 28.43 52.11 10.3633333333333 43.6 25.66
9.33 22.21 28 51.74 10.1983333333333 43.8 26
9.61 22.32 27.84 51.87 9.915 43.16 25.84
9.795 22.445 27.27 51.04 9.92666666666667 42.47 25.9
9.735 22.5575 27.29 51.23 10.0533333333333 42.72 26.8
9.925 22.6775 27.29 51.04 10.2716666666667 43.11 26.79
9.85 22.3975 26.82 51.62 9.96 42.43 24.5
9.785 22.4175 26.99 51.86 9.86166666666667 42.47 23.89
9.62 22.155 26.58 51.68 9.95666666666667 42.32 25.29
9.52 21.6 26.17 52.01 9.59 42.01 25.59
9.59 21.735 25.86 51.25 9.82666666666667 41.02 25.07
9.78 21.8475 25.94 50.67 10.1816666666667 41.84 24.8
9.715 21.51 25.75 50.67 10.115 40.98 24.58
9.725 21.625 25.05 50.94 10.3133333333333 41.41 24.86
9.77 21.81 25.55 51.03 10.3733333333333 43.44 24.85
9.95 21.74 25.63 50.36 10.6133333333333 43.48 25.32
9.96 21.9675 25.81 50.91 10.7483333333333 43.77 25.5
9.91 21.875 24.94 51.14 10.2533333333333 43.52 25.79
9.88 21.8625 24.25 50.68 10.28 44.11 25.51
9.705 21.53 24.25 49.89 10.145 42.53 25.5
9.78 21.615 24.52 49.7 10.3183333333333 41.8 26.1
9.745 21.5625 24.89 49.94 10.2716666666667 41.24 25.6
9.74 21.555 24.38 49.8 10.3616666666667 41.93 25.36
9.735 21.285 24.55 49.94 10.6116666666667 41.02 24.9
9.655 21.255 24.92 50.51 10.6433333333333 40.98 25.13
9.74 21.27 25.41 50.64 10.8183333333333 40.79 24.89
9.725 21.77 25.94 50.9 10.995 40.79 25.63
9.81 21.725 25.65 50.91 11.1566666666667 40.2 25.25
9.815 21.7275 25.91 50.22 11.3266666666667 42.34 25.44
9.81 21.655 25.9 50.31 11.4866666666667 41.06 25.96
9.775 21.675 25.56 49.95 11.25 41.5 26.22
9.595 21.5925 25.79 50.68 11.4216666666667 42.36 25.99
9.605 21.78 25.53 51.02 11.3166666666667 42.28 25.66
9.545 21.5425 25.57 51.36 11.12 42.09 26.1
9.42 21.5575 25.94 52.15 11.0283333333333 41.47 26.17
9.415 21.6775 25.62 52.2 11.1666666666667 40.83 26.34
9.4 21.5475 25.6 51.3 11.025 41.37 26.85
9.135 21.2625 24.68 51.13 10.775 40.92 26.33
9 21.21 24.82 51.05 10.9916666666667 41.21 25.87
9.275 21.2625 25.25 52.15 11.1416666666667 41.95 25.34
9.535 21.18 25.08 50.91 11.4066666666667 41.28 24.79
9.405 21.0125 25.16 50.91 11.2083333333333 41.21 24.62
9.295 21.245 24.8 51.07 11.5533333333333 40.38 24.18
9.22 21.23 24.82 51.24 11.7216666666667 40.74 23.57
9.205 20.935 25.05 50.08 11.8983333333333 40.92 23.71
9.27 20.9275 25.25 51.16 11.86 41.05 23.58
9.375 20.6075 24.99 50.86 11.8116666666667 40.56 22.68
9.44 20.4875 24.64 50.67 11.88 40.47 22.9
9.55 20.825 24.69 50.18 11.7416666666667 40.29 22.84
9.55 20.505 24.88 49.62 11.695 40.11 23.35
9.7 20.565 25.09 49.63 11.4333333333333 39.68 22.62
9.775 20.395 24.69 48.46 11.55 39.93 23.08
9.78 20.305 24.69 48.93 11.9483333333333 39.93 23.08
9.59 19.8725 24.92 50.58 11.42 39.78 23.08
9.315 19.6175 25.05 49.02 11.1183333333333 39.57 24.7
9.315 19.4125 24.93 48.83 11.0683333333333 40.15 26.43
9.255 19.5225 24.93 48.28 11.1183333333333 40.15 26.43
9.1 19.3475 24.56 46.71 10.855 40.14 26.52
9.305 19.125 24.36 45.49 11.235 39.69 25.78
9.315 19.4925 24.86 45.85 11.835 40.47 25.6
9.44 19.4325 24.89 46.9 11.8233333333333 39.88 25.45
9.07 19.475 24.56 47.08 11.8016666666667 39.7 26.29
9.085 19.2275 24.02 49.29 11.6633333333333 38.67 26.47
9.15 19.5725 23.97 49.02 11.7016666666667 39.12 27.05
9.205 19.39 24.35 48.74 11.5066666666667 38.36 26.85
9.195 19.3625 24.82 48.35 11.6466666666667 38.49 27.1
9.075 19.1375 24.57 47.32 11.4566666666667 38.36 26.84
9.165 19.17 24.01 47.61 11.645 40.4 27.43
9.29 18.935 23.69 46.28 11.58 40.77 27.2
9.035 18.2775 24.93 47.57 11.2316666666667 40.11 27.18
9.01 18.3375 25.12 48 11.2216666666667 40.14 27.28
9.07 18.2025 25.04 47.91 10.9033333333333 38.77 26.25
9.045 18.01 24.84 47.73 10.77 38.66 26.46
9.1 17.7875 25.28 48.46 11.09 39.36 26.45
9.035 17.84 25.26 48.33 11.18 39.35 26.63
8.875 17.8325 24.46 47.91 11.2516666666667 38.03 25.91
8.315 18.045 24.53 48.56 11.0866666666667 38.72 26.46
8.315 17.715 25.28 48.08 10.615 36.65 26.21
8.29 17.67 25.86 49.19 11.14 37.1 26.02
8.265 17.305 26.13 48.53 10.6183333333333 36.78 25.69
8.26 16.87 26.27 48.19 9.92666666666667 35.97 25.07
8.8 17.2475 25.64 48 10.1633333333333 36.7 25.36
8.725 17.3175 26.09 48.83 9.78833333333333 36.39 25.95
8.765 17.655 27.17 47.92 10.0916666666667 37.32 25.81
8.51 17.45 27.98 46.6 9.64166666666667 35.79 25.17
8.445 16.73 27.94 46.96 9.085 33.53 24.62
8.365 16.435 26.94 44.69 8.66833333333333 31.9 24.03
8.34 16.48 26.34 43.9 8.60333333333333 32.28 23.91
8.355 16.67 26.48 44.1 8.65166666666667 32.91 23.97
8.385 17.075 26.23 43.45 9.05333333333333 32.97 23.79
8.425 17.375 26.42 44.04 9.49333333333333 34.17 23.43
8.19 17.1 26.67 43.15 8.96833333333333 33.99 23.33
8.15 16.935 26.65 43.15 8.74166666666667 34.29 23.36
8.14 16.9 25.88 41.19 8.825 33.72 22.62
8.03 16.805 26.18 41.87 8.71333333333333 33.72 22.49
7.88 16.8575 26.46 41.76 9.055 32.91 22.45
8.365 17 25.55 41.78 9.23166666666667 32.91 22.52
8.675 17.4825 25.66 41.98 9.75833333333333 33.81 23.01
8.835 17.68 25.77 42.02 10.0766666666667 34.21 22.86
8.91 17.695 26.07 42.24 10.0566666666667 35.18 22.92
8.87 17.7525 25.87 42.28 10.0283333333333 35.41 22.87
8.49 17.4925 25.73 41.78 9.595 34.49 22.84
8.58 17.6675 26.61 42.69 9.72666666666667 34.26 22.84
8.44 17.26 26.34 43.42 9.29666666666667 32.64 22.93
8.39 17.35 25.92 42.76 9.20833333333333 32.51 22.94
8.125 17.31 25.51 42.6 9.42333333333333 33.33 22.51
8.21 17.3275 25.08 42.87 9.63 36.11 22.25
8.5 17.6675 24.76 42.83 10.0433333333333 36.69 22.1
8.42 17.7125 25.08 42.24 10.0183333333333 36.87 22.49
8.545 18.49 25.26 42.24 10.32 37.5 22.54
8.7 18.66 24.54 42.1 10.2716666666667 38.09 22.61
8.735 18.345 23.17 40.78 10.2 36.69 21.89
8.73 18.4625 23.76 40.24 9.95166666666667 37.14 22.25
8.83 18.24 23.6 40.32 9.99 39.07 22.54
8.84 18.055 24.18 41.28 9.68333333333333 38.67 22.17
8.65 17.6625 24.28 39.97 9.555 37.54 21.6
8.675 17.94 24.06 39.51 9.59666666666667 37.95 21.3
8.885 17.8025 24.72 38.98 9.47833333333333 36.88 21.21
8.5 17.1425 23.56 38.94 8.89666666666667 35.66 20.82
8.62 17.1825 24.36 39.19 9.375 35.97 20.85
8.83 17.0175 24.4 39.28 9.58333333333333 35.52 21.09
9.085 17.4925 24.36 39.33 9.91 37.68 21.06
9.08 17.2425 23.91 38.52 9.90333333333333 37.03 20.53
9.26 17.615 24.31 37.97 10.2366666666667 36.34 20.82
9.37 18.085 24.38 37.6 10.7666666666667 36.78 20.76
9.105 17.6925 23.64 37.97 10.4866666666667 36.33 20.56
9.2 17.495 23.32 36.97 10.195 35.14 20.91
9.33 17.6475 23.75 37.24 9.87666666666667 34.85 20.68
9.395 17.91 24.49 38.15 9.70666666666667 36.65 21.13
9.155 17.9375 24.79 37.44 10.095 38.49 20.6
9.14 17.9475 24.61 36.61 10.17 37.86 20.5
9.42 18.51 24.71 36.79 10.5433333333333 38.5 21.22
9.52 18.5325 24.63 36.79 10.6566666666667 38.92 21.19
9.57 18.7375 24.97 37.8 11.3966666666667 40.47 21.8
9.735 19.3275 24.96 39.06 12.2933333333333 42.4 22.54
9.945 19.21 24.54 38.69 12.2283333333333 41.81 22.54
9.965 19.07 24.45 38.84 12.4683333333333 40.92 22.3
10.03 19.095 25.18 38.88 13.1183333333333 41.29 22.23
10.145 19.5625 25.53 38.99 13.3683333333333 42.56 22.05
10 19.4925 25.78 38.67 13.5066666666667 42.64 21.95
10.23 19.3975 25.98 40.49 13.6 43.71 22.34
10.145 19.4925 26.43 39.83 13.0733333333333 43.27 21.95
10.29 19.8375 26.79 39.74 12.8533333333333 41.97 22.2
10.24 20.1325 26.78 39.72 13.035 41.53 21.84
10.21 20.2325 26.93 39.34 13.7666666666667 40.33 21.41
10.245 19.935 26.48 41.1 13.8366666666667 39.89 21.24
10.34 19.8275 26.67 39.92 13.7933333333333 40.46 21.08
10.025 19.3425 26.16 39.55 13.4483333333333 39.89 20.52
10.125 19.88 26.43 39.97 13.9266666666667 40.95 21.15
10.29 20.0425 26.16 39.68 14.3433333333333 41.17 20.94
10.11 20.1025 25.67 39.69 14.46 41.24 20.77
10.035 19.9475 25.74 40.15 14.7966666666667 41.08 20.39
10.07 19.495 24.81 39.06 14.2366666666667 40.15 20.58
9.995 19.36 24.68 38.15 14.0283333333333 39.59 20.51
10.045 19.785 24.54 39.56 14.285 39.21 20.73
9.94 19.9775 24.34 37.98 13.9983333333333 39.75 20.32
9.675 20.2675 24.48 37.7 14.3516666666667 39.74 20.49
9.665 20.42 24.72 36.33 14.9266666666667 42.09 20.97
9.74 20.61 25.03 36.55 15.4866666666667 42.81 21.14
9.605 20.6075 25.17 36.55 15.1383333333333 42.79 20.68
9.22 20.7025 25.13 36.82 14.6733333333333 42.78 21.21
9.35 20.81 25.26 36.46 14.675 42.28 21.85
9.215 20.55 25.26 36.06 14.9783333333333 41.84 20.66
9.075 20.8125 24.79 36.87 15.4233333333333 41.44 20.62
9.085 20.835 25.08 36.46 15.6066666666667 42.47 20.59
9.1 21 25.23 37.97 15.57 43.08 20.4
9.175 20.9975 25.26 37.9 16.0016666666667 43.83 20.39
8.96 20.345 24.38 36.98 15.7233333333333 41.72 19.96
8.89 20.545 24.49 36.58 15.645 41.22 20.2
8.945 21.005 24.25 35.9 16.04 41.39 20.01
8.705 20.935 24.6 35.83 16.35 42.1 20.02
8.8 21.1625 24.45 36.53 16.3183333333333 42.01 19.8
8.855 21.325 24.81 37.8 16.7183333333333 42.68 20.24
8.89 21.2675 25.35 38.15 17.145 43.26 20.19
8.59 21.015 25.35 38.23 17.6416666666667 43.48 20.17
8.395 20.6025 25.32 37.19 17.025 42.73 19.62
8.315 20.295 24.86 37.56 17.1483333333333 43.23 19.67
8.215 20.1825 24.37 38.03 17.7716666666667 43.91 19.69
8.055 19.9625 24.09 38.01 17.0083333333333 42.55 19.55
7.97 19.505 24.1 37.01 16.065 41.61 19.4
8.235 19.6275 24.57 37.15 16.6833333333333 41.93 19.71
8.315 19.71 23.98 37.63 17.01 41.3 19.81
8.3 19.8425 23.28 37.92 16.155 40.08 19.28
8.15 19.5725 22.78 36.78 15.9216666666667 40.98 19.24
8.045 19.2925 22.43 35.85 16.36 40.45 18.85
8.12 19.1825 22.1 36.06 15.8683333333333 39.93 18.91
8.17 18.8275 21.89 36.59 16.2833333333333 40.24 19.01
8.23 18.6825 21.84 36.38 16.6033333333333 39.49 18.74
8.255 18.895 21.68 36.73 16.775 39.6 19.04
8.255 19.39 20.97 36.66 16.9683333333333 39.66 19.14
8.29 19.005 20.77 36.61 17.145 39.49 16.9
8.32 18.705 20.42 36.26 16.7133333333333 38.65 16.8
8.06 18.2825 20.25 35.76 16.075 37.71 16.54
7.855 18.195 20.53 35.99 15.4766666666667 36.96 15.59
7.735 18.085 20.52 36.21 15.93 37.05 15.87
7.765 17.9075 20.6 36.08 16.455 37.3 15.86
7.85 18.0575 20.9 35.41 16.6 37.24 15.82
7.825 17.98 20.69 34.72 16.4316666666667 37.27 15.37
7.725 18.115 21.04 35.14 16.5933333333333 37.49 15.25
7.655 18.055 21.05 34.49 16.39 37.45 15.18
7.9 18.32 21.15 34.14 15.9166666666667 37.62 15.18
7.63 17.88 20.15 33.09 14.915 37.27 15.26
7.475 17.7 20.3 33.67 15.1916666666667 36.82 14.89
7.485 17.725 20.12 33.86 15.4966666666667 37 14.68
7.65 17.76 19.93 34.4 15.295 36.93 14.74
7.53 17.7575 19.71 33.89 14.4733333333333 35.72 14.29
7.65 17.69 19.39 33.96 14.6133333333333 35.63 14.25
7.62 17.9125 19.6 34.84 14.6383333333333 35.67 14.18
7.63 17.855 19.77 34.49 14.55 35.67 14.1
7.56 17.8875 19.97 34.49 14.0566666666667 34.78 13.91
7.5 17.7575 19.45 33.12 13.6466666666667 33.81 13.95
7.355 17.6575 19.75 33.46 13.4766666666667 33.33 13.82
7.395 17.685 19.9 33.25 14.18 33.81 13.97
7.45 17.7275 20.04 33.13 14.23 33.81 14.02
7.36 17.8125 20.13 32.94 14.145 33.61 14.04
7.475 18.0275 20.12 32.94 13.6383333333333 32.64 14.16
7.47 18.275 20.12 32.63 13.5016666666667 31.72 14
7.4 18.3 20.12 33.21 13.555 31.2 14
7.45 18.205 20.47 33.33 13.99 30.52 14.29
7.49 18.0525 20.56 33.56 14.0766666666667 30.83 13.66
7.31 17.84 20.68 32.63 13.52 30.6 13.19
7.295 18.1125 20.3 32.07 12.7216666666667 28.8 13.61
7.16 18.0525 20.38 32.02 12.83 29.17 13.43
7.155 18.43 20.38 31.7 13.2383333333333 30.02 13.81
6.915 18.35 20.6 31.95 13.2633333333333 29.99 13.6
6.98 18.2875 20.56 32.41 13.0366666666667 29.81 13.51
6.96 18.16 20.65 31.53 13.1083333333333 29.28 13.38
6.99 17.9925 20.67 30.87 13.2666666666667 29.88 13.11
6.96 17.9675 20.7 31.17 13.53 31.41 13.24
6.82 17.8 20.59 31.22 13.4166666666667 32.04 12.96
6.83 17.76 20.57 31.39 14.1216666666667 33.3 13.01
6.86 17.955 20.63 31.22 14.0633333333333 32.33 12.91
6.825 18.0075 20.57 31.49 13.97 31.68 13.1
6.97 18.4675 20.63 31.66 14.355 32.79 13.08
6.96 18.46 20.5 31.75 14.78 32.75 12.9
7.01 18.31 20.54 31.57 14.43 32.83 12.82
6.95 18.6 20.67 31.96 15.225 33.66 12.72
7.065 18.5975 20.54 32.46 15.5316666666667 34.52 13.06
7.135 18.315 20.46 32.63 15.5783333333333 33.06 12.99
7.165 18.0125 20.14 32.31 15.1783333333333 31.94 12.93
7.22 18.1475 20.76 32.54 15.455 32.13 13.2
7.2 17.7075 20.31 32.1 14.8433333333333 33.98 13.08
7.075 17.505 20.67 31.45 14.44 34.43 12.84
7.16 17.835 20.41 31.7 14.3366666666667 34.15 12.89
6.995 17.34 20.41 30.86 13.8516666666667 32.92 12.83
6.905 17.27 20.28 30.78 13.7333333333333 33.67 13.04
6.695 17.06 19.84 30.95 13.21 33.1 12.94
7.025 17.1775 19.69 30.86 13.2566666666667 33.36 12.86
7.085 16.865 19.92 30.95 13.58 33.85 12.87
7.075 16.8775 19.61 31.09 13.885 34.43 12.82
7.065 16.785 19.27 30.78 14.065 34.61 12.64
7.295 17.0675 19.66 31.85 14.89 35.39 13.11
7.275 17.2425 19.1 32.28 15.0983333333333 34.96 12.74
7.305 17.22 19.19 32.73 15.5516666666667 34.33 12.77
7.305 17.0475 18.95 30.24 14.5833333333333 33.76 12.79
7.41 17.275 19.04 30.35 15.4216666666667 33.94 12.56
7.445 17.235 19.04 30.51 15.355 33.72 12.54
7.23 17.0275 18.85 30.68 15.1133333333333 33.35 12.55
6.995 17.05 18.38 30.51 15.0866666666667 33.54 12.36
7.29 17 18.69 29.8 15.195 33.54 12.17
7.34 17.4125 18.65 29.54 15.875 34.03 12.32
7.46 17.5075 18.69 29.63 16.7683333333333 33.9 11.99
7.48 16.9 18.37 30.7 15.0766666666667 31.02 12.08
7.35 16.6025 18.25 30.77 14.715 30.71 11.7
7.525 16.88 19.21 30.86 15.0833333333333 31.28 12.03
7.305 16.6425 18.56 30.75 14.83 30.75 12.04
7.115 16.2075 17.96 29.02 14.3583333333333 28.93 11.8
7.225 16.1875 17.81 29.24 14.83 28.26 11.98
7.22 16.18 17.86 28.87 14.5883333333333 28.27 12.1
7.095 15.7125 17.84 28.83 13.96 28.76 11.75
7.155 15.56 17.84 28.71 13.8116666666667 28.75 11.83
6.805 15.1875 17.71 28 13.15 27.06 11.51
6.99 15.3 17.68 28.56 13.4666666666667 28.07 11.71
6.69 14.925 17.27 28.51 12.9083333333333 27.55 11.62
6.795 14.955 16.74 27.49 12.915 26.89 11.57
6.98 14.83 16.29 27.34 12.2166666666667 26.71 11.26
7.135 15.25 16.75 28.3 12.815 27.87 11.43
7.17 15.3325 16.74 28.54 13.5233333333333 29.06 11.21
7.01 15.1575 16.52 28.74 13.3683333333333 28.31 11.43
7.015 15.1625 16.71 29.31 13.69 29.12 11.42
6.83 15.055 16.32 28.83 13.695 27.28 11.37
6.715 14.785 16.75 27.87 13.3983333333333 25.67 11.8
7.065 15.7825 17.26 28.39 14.1933333333333 27.89 12.04
6.765 15.965 17.27 28.56 14.6283333333333 28.23 12.17
6.92 16.2875 17.43 30.38 15.5983333333333 29.29 12.3
6.81 16.2 17.23 31.04 16.3283333333333 28.88 12.25
6.7 16.0875 16.86 31.06 16.0083333333333 28.84 11.81
6.59 16.1925 16.94 32.46 16.175 29.2 11.8
6.34 15.97 16.84 32.48 16.12 29.1 11.59
6.18 15.89 16.84 32.99 16.5733333333333 30.42 11.71
6.01 15.9225 16.85 32.1 16.8133333333333 31.06 11.69
6.21 16.0625 17.49 33.78 18.02 32.56 12.01
6.14 15.79 17.2 33.66 17.58 31.55 11.83
5.82 15.515 16.94 33.08 16.825 30.7 11.24
6.065 15.6825 17.45 32.9 17.545 31.37 11.77
6.2 15.9 17.3 34.4 18.6583333333333 31.68 11.88
6.14 15.5275 17.59 33.71 17.4533333333333 31.22 12.04
6.015 15.11 16.9 33.59 17.0583333333333 30.39 11.54
5.835 15.165 16.72 32.95 16.4666666666667 30.7 11.51
5.635 14.9125 16.29 34.28 15.5416666666667 29.15 11.11
5.62 14.785 16.55 33.78 15.4316666666667 29.57 11.4
5.75 15.005 16.65 33.3 15.7783333333333 30.12 11.06
5.72 15.0725 16.69 32.79 15.9666666666667 30.88 10.99
5.54 14.77 16.19 30.55 15.4283333333333 30.08 10.73
5.47 14.865 16.17 31.09 15.4766666666667 29.72 10.73
5.525 14.9875 16.11 31.6 15.3716666666667 29.62 10.99
5.73 15.525 15.71 32.64 16.3533333333333 29.28 11.46
5.79 15.33 15.68 32.72 16.0066666666667 29.41 11.25
5.75 14.8825 14.88 31.73 15.5116666666667 27.86 10.85
5.74 14.6225 15.51 31.39 16.3333333333333 28.04 10.99
5.635 14.2525 14.72 30.07 15.3766666666667 27.51 10.68
5.51 14.245 14.91 29.61 15.63 26.62 10.73
5.2 13.7275 14.51 28.44 14.29 24.84 10.2
5.88 15.41 15.31 29.23 15.1733333333333 26.4 11.23
5.96 15.3525 15.15 29.63 14.745 26.09 11.46
6.46 16.4575 15.77 30.16 15.99 27.37 11.6
6.54 16.5475 15.7 30.7 16.2066666666667 27.95 11.83
6.64 16.8875 16.15 31.84 16.6466666666667 28.84 11.99
6.66 16.89 16.42 30.96 16.6133333333333 29.55 12.09
6.345 16.9725 16.65 30.82 16.5116666666667 29.06 12.09
6.43 16.74 16.18 30.25 16.4283333333333 28.24 12.04
6.635 17.1125 17.21 30.26 17.0233333333333 28.89 12.35
6.715 17.1225 17.17 29.74 17.6566666666667 28.86 12.34
6.865 17.28 17.26 29.91 18.015 29.28 12.4
6.83 17.38 17.3 30.4 17.635 28.97 12.3
6.73 16.9475 17.21 31.74 16.625 28.23 12.32
6.585 16.81 17.19 32.17 16.45 26.71 12.17
6.79 17.2775 17.14 31.32 16.4716666666667 29.02 12.09
6.865 17.285 17.48 31.56 16.5083333333333 30.17 12.01
6.945 17.0125 17.34 32.34 17.1766666666667 30.52 12.27
6.845 16.255 17 32.78 16.3783333333333 29.9 12.12
6.89 16.05 17.11 32.26 16.5883333333333 29.75 12.22
7.085 16.02 17.09 32.32 17.1916666666667 29.37 12.17
7.11 16.04 17.26 32.17 17.5783333333333 29.9 12.47
7.245 16.155 17.61 33.3 17.5716666666667 30.68 12.3
7.21 16.5125 17.77 34.33 17.9 31.63 12.57
7.255 16.6775 17.73 35.63 18.6033333333333 31.85 12.43
7.205 16.715 17.47 34.77 18.4033333333333 31.85 12.35
7.195 16.625 17.14 33.81 18.0783333333333 31.85 12.16
7.115 16.4325 17.26 34.42 18.4133333333333 31.29 12.4
7.25 16.2425 17.63 34.68 18.8066666666667 31.56 12.43
7.28 16.0675 17.21 34.08 18.4116666666667 30.97 12.38
7.22 16.0425 16.75 33.54 18.0583333333333 31.5 12.32
7.235 16.16 17.21 34.51 17.8983333333333 31.59 12.17
7.24 16.165 16.9 34.76 18.425 30.97 12.31
7.505 15.805 16.09 33.29 18.5116666666667 30.05 11.98
7.455 15.635 15.83 33.43 18.3266666666667 30.79 12.17
