"Bens Indls / Mat Transporte" "Cons N Básico / Alimentos Processados" "Cons N Cíclico / Fumo" "Cons N Cíclico / Pr Pessoal Limp" "Const e Transp / Constr e Engenh" "Consumo Cíclico / Tecid Vest Calç" "Utilidade Públ / Água Saneamento"
12.53 26.195 19.64 35.7 6.20833333333333 22.8 19.64
12.425 26.3125 20.05 36.22 6.23666666666667 23.08 19.3
12.45 26.4275 19.85 36.2 6.30166666666667 23.24 19.72
12.69 26.37 20.2 37.1 6.34333333333333 22.65 20.01
12.78 26.105 20.18 36 6.33333333333333 21.36 20.21
12.68 25.6775 20.55 35.33 6.32333333333333 20.71 20.09
12.715 26.1675 21.05 35.79 6.46666666666667 21.28 20.61
12.63 26.0125 21.96 36.24 6.52833333333333 21.26 21.04
12.78 26.1675 22.67 36.6 6.79166666666667 21.73 21.75
12.765 26.3975 22.66 36.52 6.85666666666667 21.28 21.98
12.965 26.6025 22.83 36.57 6.88166666666667 20.2 22.44
12.93 26.6725 22.79 38.35 6.87666666666667 19.81 22.22
12.89 27.15 22.99 38.64 6.935 20.4 22.6
12.9 26.9675 22.83 38.55 6.84333333333333 19.88 22.8
12.78 26.6475 22.69 38.2 6.88166666666667 19.82 22.78
12.865 26.1525 22.44 37.91 6.68333333333333 19.86 22.98
12.67 26.0375 22.1 38.25 6.69833333333333 19.92 23.04
12.825 26.06 22.15 38.27 6.77666666666667 20.25 23.26
12.995 26.0125 22.18 38.61 6.81833333333333 20.89 23.7
12.615 25.8075 21.86 38.51 6.805 21 23.97
12.55 25.78 21.8 37.81 6.79666666666667 20.73 23.67
12.24 25.54 21.96 37.13 6.74333333333333 20.84 23.45
12.5 25.495 22.14 37.48 6.77166666666667 21.04 23.59
12.61 25.8375 22.47 37.56 6.75833333333333 21.33 23.9
12.5 25.6775 22.44 37.46 6.785 21.19 23.77
12.225 25.2475 21.75 36.72 6.765 21.19 23.6
12.205 25.22 21.86 36.77 6.87833333333333 21.67 23.85
12.145 25.2575 22.22 36.72 6.885 21.81 23.55
11.875 25.28 22.59 37.17 6.835 21.96 23.83
12.035 24.8225 22.76 37.56 6.80333333333333 22.01 23.8
12.04 25.1725 22.49 38.86 6.795 22.26 23.9
12.25 25.3425 22.51 38.98 6.78 22.55 24.07
12.205 25.1375 22.04 38.95 6.76333333333333 22.32 23.85
12.29 25.2025 22.62 39.73 6.84833333333333 22.39 24.26
