"ano" "b_volatilidade_sse_volatilidade" "b_volatilidade_sse_b" "volatilidade_sse" "b_sse"
2008 0.0268455161664158 0.0623004277994118 0.00611093475941209 0.0614745493402749
2009 0.0261324718740402 0.0457071493138947 0.0185338342108024 0.0362955230880442
2010 0.012116068084308 0.590991651113938 0.0114195249196263 0.591230833639231
2011 0.0119897955659809 0.00907687612330451 0.0027935639825533 0.00787509115536164
2012 0.0194794716407736 0.0203561123182385 0.00700190853384697 0.0203561123182385
2013 0.00792047821961602 0.00757285768004078 0.00623518220816147 0.00716500311539556
2014 0.0176476183807648 0.179155373970801 0.00126633428568758 0.179155373970801
