"ano" "b_volatilidade_sse_volatilidade" "b_volatilidade_sse_b" "volatilidade_sse" "b_sse"
2008 0.00335460591535415 0.00192864093337437 0.00402196715165086 0.0036643927026676
2009 0.00626404458428384 0.00618557540631863 0.0093096683698511 0.00647451395576067
2010 0.00293612323087266 0.00200996492777459 0.00241022948981416 0.000781099059691248
2011 0.00287495240086115 0.00276981508308757 0.00441483637307208 0.00291510080847883
2012 0.00381430643932325 0.00445983446242337 0.00394335097852963 0.00468277868978965
2013 0.00168367090216582 0.00267894402623484 0.00215587199055419 0.00390806543598877
2014 0.00398026780278321 0.00157137162223977 0.00368957664718062 0.00120304822766581
