"coeficiente_B" "risco" "distancia_euclidiana" "periodo" "sse" "a" "volatilidade" "i" "b_volatilidade" "cor"
0.69567452845372 "arrojado" 0.088967140621522 2008 0.0650058564114133 1.08543394979709 1.36552898848696 5 0.949963735155549 "red"
0.914617237992513 "moderado" 0.0363348221947795 2008 0.0944308891881423 1.13658247309294 1.10277192959094 4 1.00861421637814 "black"
0.923796175931291 "moderado" 0.0271558842560015 2008 0.0165477982288428 1.03546759439704 1.07148720273062 6 0.989835780441863 "black"
0.990361317733037 "moderado" 0.0394092575457445 2008 0.0122748385584646 1.03380079516116 1.03292072530493 2 1.02296473062676 "black"
1.00314980091428 "moderado" 0.0521977407269876 2008 0.00581834117630385 1.0281578624185 1.02053197949511 1 1.02374645205718 "black"
1.01104772050709 "moderado" 0.0600956603197975 2008 0.0129952604623517 1.04260713152978 1.03322364885308 8 1.04463841494692 "black"
1.03920597425387 "moderado" 0.0882539140665775 2008 0.0181402478775938 1.01412663423158 0.925772764738051 7 0.962068587917308 "black"
0.721305522298522 "arrojado" 0.0324500421947108 2009 0.0541827009662542 1.06420974837648 1.30693036904807 10 0.942696092454017 "red"
0.778305864803583 "arrojado" 0.0245503003103502 2009 0.00814609279643165 1.03795164704518 1.14740628193056 16 0.893033038539031 "red"
0.822180348286055 "moderado" 0.0519362273149487 2009 0.0134455303991332 1.03530322842203 1.17175308025841 14 0.963392355632117 "black"
0.882927398108991 "moderado" 0.00881082250798726 2009 0.0289098153862102 1.07060349490223 1.13487596089828 13 1.00201307933236 "black"
1.01587707968851 "conservador" 0.007502637610731 2009 0.0199269694858814 1.06688419565461 1.03544143093615 9 1.05188121704791 "green"
1.16601045899087 "conservador" 0.142630741691629 2009 0.00662789164024191 1.05000987713921 0.832594058482347 15 0.970813380284069 "green"
1.27188284780884 "conservador" 0.248503130509599 2009 0.0624617353430477 1.14012827360795 0.846242677501385 12 1.07632154659784 "green"
0.736004713269571 "arrojado" 0.0487304778193333 2010 0.0408059259304695 1.07436660788614 1.2697065537858 21 0.934510008055615 "red"
0.749775514007452 "arrojado" 0.0349596770814522 2010 0.0468079836932267 1.07211370043995 1.29885403766449 18 0.973848953710546 "red"
0.776933110999289 "arrojado" 0.00780208008961525 2010 0.04637710584737 1.0758110553176 1.25774529920736 22 0.977183968157907 "red"
0.954107248950024 "moderado" 0.0027029596660425 2010 0.0438155418155188 1.12640244627135 1.07007398399247 19 1.02096534504005 "black"
0.979621142337489 "moderado" 0.0228109337214225 2010 0.0248352418968517 1.09261913594685 1.0514941049 24 1.03006585620327 "black"
0.990146983764755 "moderado" 0.0333367751486885 2010 0.0531025032887758 1.11114525496972 1.05239233633133 20 1.04202309755561 "black"
1.1815833153882 "conservador" 0.0130765900930032 2010 0.0460377096616709 1.1077154894009 0.912236816905008 17 1.0778838025378 "green"
0.73091534955865 "arrojado" 0.0421745132831961 2011 0.0609371497031637 1.08109000985291 1.32100095864352 30 0.965539877454239 "red"
0.823519271926956 "arrojado" 0.0504294090851098 2011 0.00614935512110403 1.04689939959517 1.1738102076862 29 0.966655327614168 "red"
0.838485650634298 "arrojado" 0.0653957877924519 2011 0.0278302136893018 1.05055971148026 1.15217293637912 31 0.966080474203076 "red"
0.842858698503814 "arrojado" 0.0697688356619679 2011 0.0266588582524577 1.08958289343503 1.19042633511942 32 1.00336119148342 "red"
0.85260197126568 "arrojado" 0.0795121084238339 2011 0.0266809302533819 1.01848375323684 1.06664728094516 28 0.909425574379024 "red"
0.965265875930175 "moderado" 0.0100096853405668 2011 0.0363281087562845 1.0657185623089 1.05561208761907 25 1.0189463263981 "black"
0.976873803584543 "moderado" 0.0216176129949348 2011 0.0601915855692173 1.12659788984626 1.01341756816474 27 0.989981074432491 "black"
1.0097080200138 "moderado" 0.0544518294241918 2011 0.0440415537997113 1.05137223619304 1.00550126196149 26 1.01526268833651 "black"
0.688595753846449 "arrojado" 0.0877569013947882 2012 0.0353737978655645 1.07119462638473 1.35879275166745 38 0.935658919155538 "red"
0.77564132944766 "arrojado" 0.000711325793577244 2012 0.060349760375563 1.08380679509215 1.23620661142095 36 0.958852939554531 "red"
0.789094238949443 "arrojado" 0.0127415837082058 2012 0.0250272908848475 1.05973550491754 1.23690831276066 34 0.976037223708115 "red"
0.824895427506805 "arrojado" 0.0485427722655678 2012 0.00817765736792547 1.04446784333508 1.14341530179856 37 0.943198054194947 "red"
0.856062740165976 "arrojado" 0.0797100849247389 2012 0.0635658429771296 1.07257181469392 1.15021990400268 39 0.984660402813978 "red"
0.858662674427697 "arrojado" 0.0823100191864597 2012 0.00921561541879781 1.02665789057807 1.10656230353259 33 0.95016374697217 "red"
1.05677871186897 "moderado" 0.102294690955345 2012 0.029774037666644 1.05498221266621 0.9588340146454 40 1.01327537489312 "black"
1.1460864096439 "conservador" 0.0604057977520698 2012 0.00847996504121254 1.0589702722959 0.906723846113853 35 1.03918387733113 "green"
0.727198739756451 "arrojado" 0.024592536031029 2013 0.0252952974318008 1.02459273723478 1.23202718353928 45 0.895928615215451 "red"
0.753903835733848 "arrojado" 0.00211255994636805 2013 0.0873621191334112 1.095481807352 1.3155507014838 46 0.991798719950989 "red"
0.80172870669133 "arrojado" 0.0499374309038501 2013 0.016710650778763 1.04651390840287 1.16932455587892 44 0.937481063887222 "red"
0.877413666820439 "moderado" 0.0118335449146998 2013 0.038097946323769 1.06004823162631 1.13695429815033 41 0.99757923974734 "black"
0.886449816497434 "moderado" 0.0208696945916949 2013 0.00266859620485539 1.0310423460366 1.1145722190665 42 0.988012339064632 "black"
