"eixo_x_frequencias","alvo"
0.01,0.9999
0.06,0.9999
0.11,0.9999
0.16,0.9999
0.21,0.982531578947368
0.26,0.918847368421053
0.31,0.849373684210526
0.36,0.768321052631579
0.41,0.693057894736842
0.46,0.467268421052632
0.51,0.426742105263158
0.56,0.415163157894737
0.61,0.403584210526316
0.66,0.351478947368421
0.71,0.282005263157895
0.76,0.276215789473684
0.81,0.270426315789474
0.86,0.2299
0.91,0.172005263157895
0.96,0.148847368421053
1.01,0.131478947368421
1.06,0.125689473684211
1.11,0.108321052631579
1.16,0.0967421052631579
1.21,0.0967421052631579
1.26,0.0967421052631579
1.31,0.0851631578947368
1.36,0.0793736842105263
1.41,0.0735842105263158
1.46,0.0620052631578947
1.51,0.0620052631578947
1.56,0.0562157894736842
1.61,0.0562157894736842
1.66,0.0562157894736842
1.71,0.0562157894736842
1.76,0.0504263157894737
1.81,0.0446368421052632
1.86,0.0388473684210526
1.91,0.0388473684210526
1.96,0.0388473684210526
2.01,0.0388473684210526
2.06,0.0388473684210526
2.11,0.0388473684210526
2.16,0.0388473684210526
2.21,0.0330578947368421
2.26,0.0330578947368421
2.31,0.0330578947368421
2.36,0.0330578947368421
2.41,0.0330578947368421
2.46,0.0330578947368421
