"volatilidade" "coeficiente_B" "risco" "distancia_euclidiana" "sse_volatilidade" "sse_coeficiente_b" "periodo" "sse" "a" "setor" "b_volatilidade" "cor"
0.925772764738051 1.03920597425387 "conservador" 0.129912365018505 0.00118656012275862 0.0156906624619426 2008 0.0181402478775938 1.01412663423158 "Consumo Cíclico / Tecid Vest Calç" 0.962068587917308 "green"
1.02053197949511 1.00314980091428 "moderado" 0.0959020019876852 0.00353934877703959 0.00565784520820639 2008 0.00581834117630385 1.0281578624185 "Bens Indls / Mat Transporte" 1.02374645205718 "black"
1.03292072530493 0.990361317733037 "moderado" 0.0782066643843392 0.00221875670778648 0.00389752564633819 2008 0.0122748385584646 1.03380079516116 "Cons N Básico / Alimentos Processados" 1.02296473062676 "black"
1.03322364885308 1.01104772050709 "moderado" 0.0953869743375068 0.00219031084246351 0.00690836403080067 2008 0.0129952604623517 1.04260713152978 "Utilidade Públ / Água Saneamento" 1.04463841494692 "black"
1.07148720273062 0.923796175931291 "moderado" 0.00948587678142537 7.28838347262693e-05 1.70980235861157e-05 2008 0.0165477982288428 1.03546759439704 "Const e Transp / Constr e Engenh" 0.989835780441863 "black"
1.10277192959094 0.914617237992513 "moderado" 0.0263573545257171 0.00051744984267361 0.000177260294920727 2008 0.0944308891881423 1.13658247309294 "Cons N Cíclico / Fumo" 1.00861421637814 "black"
1.36552898848696 0.69567452845372 "arrojado" 0.156966116078955 0.0182880605234447 0.00635030107346739 2008 0.0650058564114133 1.08543394979709 "Cons N Cíclico / Pr Pessoal Limp" 0.949963735155549 "red"
0.832594058482347 1.16601045899087 "conservador" 0.214213227332241 0.0271571847474501 0.0187301220166444 2009 0.00662789164024191 1.05000987713921 "Consumo Cíclico / Tecid Vest Calç" 0.970813380284069 "green"
0.846242677501385 1.27188284780884 "conservador" 0.285942472367307 0.0228450383732254 0.0589180591303028 2009 0.0624617353430477 1.14012827360795 "Cons N Cíclico / Fumo" 1.07632154659784 "green"
1.03544143093615 1.01587707968851 "conservador" 0.0403021792420652 0.00144803091175414 0.000176234739905412 2009 0.0199269694858814 1.06688419565461 "Bens Indls / Mat Transporte" 1.05188121704791 "green"
1.13487596089828 0.882927398108991 "moderado" 0.0170970124018197 0.000267039277285413 2.52685557825624e-05 2009 0.0289098153862102 1.07060349490223 "Cons N Cíclico / Pr Pessoal Limp" 1.00201307933236 "black"
1.14740628193056 0.778305864803583 "moderado" 0.10369516250644 0.000833572606327657 0.00991911412090943 2009 0.00814609279643165 1.03795164704518 "Utilidade Públ / Água Saneamento" 0.893033038539031 "black"
1.17175308025841 0.822180348286055 "moderado" 0.0770516195868088 0.00283220403983513 0.00310474804111517 2009 0.0134455303991332 1.03530322842203 "Const e Transp / Constr e Engenh" 0.963392355632117 "black"
1.30693036904807 0.721305522298522 "arrojado" 0.055248286072489 0.00193488054224729 0.0011174925717003 2009 0.0541827009662542 1.06420974837648 "Cons N Básico / Alimentos Processados" 0.942696092454017 "red"
0.912236816905008 1.1815833153882 "conservador" 0.140666416974061 0.00359974261415579 0.0161872982501646 2010 0.0460377096616709 1.1077154894009 "Bens Indls / Mat Transporte" 1.0778838025378 "green"
1.0514941049 0.979621142337489 "conservador" 0.108936027012471 0.00628205770606542 0.00558500027519645 2010 0.0248352418968517 1.09261913594685 "Utilidade Públ / Água Saneamento" 1.03006585620327 "green"
1.05239233633133 0.990146983764755 "conservador" 0.102702445498685 0.00642525115351758 0.00412254115789286 2010 0.0531025032887758 1.11114525496972 "Cons N Cíclico / Fumo" 1.04202309755561 "green"
1.07007398399247 0.954107248950024 "moderado" 0.113025028763791 0.00400825559073991 0.00876640153631595 2010 0.0438155418155188 1.12640244627135 "Cons N Cíclico / Bebidas" 1.02096534504005 "black"
1.25774529920736 0.776933110999289 "arrojado" 0.0373980082162178 0.000257977537900547 0.00114063348063975 2010 0.04637710584737 1.0758110553176 "Const e Transp / Constr e Engenh" 0.977183968157907 "red"
1.2697065537858 0.736004713269571 "arrojado" 0.0082467809026154 1.68134818669456e-05 5.11959133887964e-05 2010 0.0408059259304695 1.07436660788614 "Cons N Cíclico / Pr Pessoal Limp" 0.934510008055615 "red"
1.29885403766449 0.749775514007452 "arrojado" 0.0259060273309223 0.000627355178713853 4.37670733566404e-05 2010 0.0468079836932267 1.07211370043995 "Cons N Básico / Alimentos Processados" 0.973848953710546 "red"
1.00550126196149 1.0097080200138 "moderado" 0.107740007432206 0.00588757362929485 0.00572033557219705 2011 0.0440415537997113 1.05137223619304 "Cons N Básico / Alimentos Processados" 1.01526268833651 "black"
1.01341756816474 0.976873803584543 "moderado" 0.081037794733605 0.00473539685435907 0.00183172732092683 2011 0.0601915855692173 1.12659788984626 "Cons N Cíclico / Bebidas" 0.989981074432491 "black"
1.05561208761907 0.965265875930175 "moderado" 0.041005752134716 0.000708608449462739 0.000972863258671029 2011 0.0363281087562845 1.0657185623089 "Bens Indls / Mat Transporte" 1.0189463263981 "black"
1.06664728094516 0.85260197126568 "moderado" 0.0829502912422392 0.00024287686078182 0.00663787395639049 2011 0.0266809302533819 1.01848375323684 "Cons N Cíclico / Fumo" 0.909425574379024 "black"
1.15217293637912 0.838485650634298 "arrojado" 0.115688546337059 0.00793399375893208 0.00544984599464974 2011 0.0278302136893018 1.05055971148026 "Consumo Cíclico / Tecid Vest Calç" 0.966080474203076 "red"
1.1738102076862 0.823519271926956 "arrojado" 0.0895080089192748 0.00454757328733695 0.00346411037335603 2011 0.00614935512110403 1.04689939959517 "Cons N Cíclico / Pr Pessoal Limp" 0.966655327614168 "red"
