"","valor_serie_retorno_eixo_x","frequencia_eixo_y","exponencial"
"1701",0.01,0.9999,0.993918567227454
"1702",0.06,0.987421008403361,0.964061682907564
"1703",0.11,0.962463025210084,0.935101686492463
"1704",0.16,0.945824369747899,0.907011635857007
"1705",0.21,0.920866386554622,0.87976539820585
"1706",0.26,0.916706722689076,0.853337625761527
"1707",0.31,0.900068067226891,0.827703732182859
"1708",0.36,0.891748739495798,0.802839869691728
"1709",0.41,0.866790756302521,0.778722906886972
"1710",0.46,0.84599243697479,0.755330407224721
"1711",0.51,0.821034453781513,0.732640608145193
"1712",0.56,0.783597478991597,0.710632400826495
"1713",0.61,0.775278151260504,0.689285310546626
"1714",0.66,0.762799159663865,0.668579477635387
"1715",0.71,0.729521848739496,0.64849563899849
"1716",0.76,0.704563865546218,0.629015110196677
"1717",0.81,0.675446218487395,0.610119768063173
"1718",0.86,0.65880756302521,0.591792033843301
"1719",0.91,0.633849579831933,0.574014856840582
"1720",0.96,0.621370588235294,0.556771698554089
"1721",1.01,0.592252941176471,0.540046517292319
"1722",1.06,0.575614285714286,0.52382375324925
"1723",1.11,0.550656302521008,0.50808831402871
"1724",1.16,0.542336974789916,0.492825560603588
"1725",1.21,0.53817731092437,0.478021293696822
"1726",1.26,0.521538655462185,0.463661740571496
"1727",1.31,0.496580672268908,0.449733542217763
"1728",1.36,0.479942016806723,0.436223740924659
"1729",1.41,0.450824369747899,0.423119768225257
"1730",1.46,0.409227731092437,0.410409433203948
"1731",1.51,0.388429411764706,0.398080911154961
"1732",1.56,0.371790756302521,0.386122732581574
"1733",1.61,0.35099243697479,0.374523772525796
"1734",1.66,0.321874789915966,0.363273240218563
"1735",1.71,0.305236134453782,0.352360669040853
"1736",1.76,0.288597478991597,0.341775906786357
"1737",1.81,0.263639495798319,0.331509106216657
"1738",1.86,0.247000840336134,0.321550715900124
"1739",1.91,0.222042857142857,0.311891471326005
"1740",1.96,0.222042857142857,0.30252238628545
"1741",2.01,0.222042857142857,0.293434744511438
"1742",2.06,0.213723529411765,0.284620091569846
"1743",2.11,0.201244537815126,0.276070226994097
"1744",2.16,0.19708487394958,0.267777196656087
"1745",2.21,0.184605882352941,0.259733285366285
"1746",2.26,0.180446218487395,0.251931009696118
"1747",2.31,0.167967226890756,0.244363111015975
"1748",2.36,0.159647899159664,0.237022548742343
"1749",2.41,0.147168907563025,0.229902493787794
"1750",2.46,0.143009243697479,0.222996322207738
