"coeficiente_B" "volatilidade" "risco" "cor" "periodos"
0.775363304786823 1.23029563267766 "arrojado" "red" 2008
0.927931151576457 1.08002440571089 "moderado" "black" 2008
1.16446834874016 0.891326282729599 "conservador" "green" 2008
0.754734440493706 1.26294309199837 "arrojado" "red" 2009
0.877900614268148 1.11853462443869 "moderado" "black" 2009
1.02915242299501 0.997388429586005 "conservador" "green" 2009
0.774586533346397 1.23028679282931 "arrojado" "red" 2010
0.93125928709609 1.07617841883347 "moderado" "black" 2010
1.13599288051329 0.894033472296207 "conservador" "green" 2010
0.764662578396347 1.24124590511224 "arrojado" "red" 2011
0.934075119949099 1.08223178802052 "moderado" "black" 2011
1.14359128632578 0.897067363064341 "conservador" "green" 2011
0.772540189440015 1.23435027812128 "arrojado" "red" 2012
0.945153820764215 1.06822840877622 "moderado" "black" 2012
1.16467064911045 0.879211579406698 "conservador" "green" 2012
0.746117608120062 1.27418551893965 "arrojado" "red" 2013
0.855966371120734 1.13653468915493 "moderado" "black" 2013
1.05357329749522 0.978862621463463 "conservador" "green" 2013
0.770945366926328 1.2415311370422 "arrojado" "red" 2014
0.938656461409364 1.07240229882044 "moderado" "black" 2014
1.14359128632578 0.897067363064341 "conservador" "green" 2014
