"sse","a","coeficiente_B","volatilidade","grupo","b_volatilidade","setor"
0.0469929284393484,1.08622369492949,1.42428041845573,0.711071082502435,1,1.01276461893834,"Bens Indls / Mat Transporte"
0.00784212927701114,1.04402258076966,1.12315471559139,0.887219500850496,1,0.996484766144873,"Cons N Básico / Alimentos Processados"
0.019534950149435,1.08549127646608,1.81066561801259,0.5500911722576,1,0.996031172379076,"Cons N Cíclico / Bebidas"
0.0290169618684043,1.05385142978646,1.00760315549407,0.957341975616319,1,0.964620795517929,"Cons N Cíclico / Fumo"
0.016540593735702,1.02637200756852,0.839577706550028,1.09327632656969,1,0.917890430886822,"Cons N Cíclico / Pr Pessoal Limp"
0.00693589943575595,1.038419888331,1.59786166381426,0.742330198032848,1,1.18614096532834,"Const e Transp / Constr e Engenh"
0.0207978949984536,1.07403863091179,2.14670093078791,0.468172423017716,1,1.00502617626136,"Consumo Cíclico / Tecid Vest Calç"
0.0461793101579262,1.09079567309056,1.0441776225971,0.972818983115325,1,1.01579581300668,"Utilidade Públ / Água Saneamento"
0.0446407245359071,1.08346856539201,1.47604246665935,0.672702539806173,2,0.992937516183515,"Bens Indls / Mat Transporte"
0.00863414190488736,1.03976475359758,1.19973352186132,0.824461442347295,2,0.989134029866186,"Cons N Básico / Alimentos Processados"
0.0267278763599675,1.09709150129145,1.83538849176167,0.548896408568815,2,1.00743815145652,"Cons N Cíclico / Bebidas"
0.0189689235155669,1.04909827781646,1.04140979888702,0.916982457218742,2,0.954954516355093,"Cons N Cíclico / Fumo"
0.0202603629959506,1.02753773071988,0.859851491259528,1.07177765127795,2,0.921569611749978,"Cons N Cíclico / Pr Pessoal Limp"
0.0031966588222105,1.01690123357687,1.63581709029218,0.721377528852316,2,1.18004169024936,"Const e Transp / Constr e Engenh"
0.0253248178724415,1.08086695622678,2.15356316270273,0.466547538680083,2,1.00473959295105,"Consumo Cíclico / Tecid Vest Calç"
0.0540871620523806,1.09409408218442,1.05796863602512,0.954802990656545,2,1.01015161769761,"Utilidade Públ / Água Saneamento"
0.0645152251640772,1.10120037906566,1.49428132487151,0.668051989517347,3,0.998257611979031,"Bens Indls / Mat Transporte"
0.00773976724239614,1.0361424843327,1.29241624521794,0.762592753987139,3,0.985587263738468,"Cons N Básico / Alimentos Processados"
0.0303959929113425,1.10098890877671,1.87599073033499,0.536050315082037,3,1.00562542208705,"Cons N Cíclico / Bebidas"
0.033654753851698,1.06008187910335,1.06905902420475,0.904805787630115,3,0.967290792418656,"Cons N Cíclico / Fumo"
0.024882069485209,1.020940332134,0.905078660051371,1.02263284630634,3,0.925563166259464,"Cons N Cíclico / Pr Pessoal Limp"
0.0066152112394189,1.03882781817696,1.72292124749712,0.639262856345086,3,1.10139955793264,"Const e Transp / Constr e Engenh"
0.0208865457515733,1.07440240452962,2.19846483743839,0.456518806939699,3,1.00364054468625,"Consumo Cíclico / Tecid Vest Calç"
0.0482869969827341,1.08250169143039,1.05228747401953,0.946270698631321,3,0.995748803201449,"Utilidade Públ / Água Saneamento"
0.0622451507225214,1.09535163751199,1.48547494159567,0.677513727860649,4,1.00642966532406,"Bens Indls / Mat Transporte"
0.0108189980824048,1.05741955635042,1.44690818930154,0.688874271286772,4,0.996737824523958,"Cons N Básico / Alimentos Processados"
0.0312667595252847,1.10750663824083,2.0059062877243,0.507508985247819,4,1.01801546458518,"Cons N Cíclico / Bebidas"
0.038912595034841,1.05264261031251,1.12877064666888,0.848902935973075,4,0.958216715997438,"Cons N Cíclico / Fumo"
0.0242276091400883,1.01724609406167,0.960302716499506,0.966791826997239,4,0.928412817754969,"Cons N Cíclico / Pr Pessoal Limp"
0.0141999433988078,1.05707554831786,1.8440008412875,0.542446971186192,4,1.00027267122119,"Const e Transp / Constr e Engenh"
0.0249480469697349,1.08483437032837,2.36280684776432,0.431537803302179,4,1.01964047671156,"Consumo Cíclico / Tecid Vest Calç"
0.0618547017069388,1.09332031370724,1.09377907824293,0.921079417070703,4,1.00745739579213,"Utilidade Públ / Água Saneamento"
0.0664787554097651,1.08406053951937,1.4486854101588,0.68413213834831,5,0.991092247445939,"Bens Indls / Mat Transporte"
0.0120614630447734,1.05267606183976,1.48157677922662,0.670884853865494,5,0.99396742102196,"Cons N Básico / Alimentos Processados"
0.0191783335698183,1.08965103197124,2.03942720360663,0.4951982961322,5,1.00992087631166,"Cons N Cíclico / Bebidas"
0.0253982767881451,1.03964924021092,1.1959860749684,0.801224359378687,5,0.958253176742388,"Cons N Cíclico / Fumo"
0.0304821043850965,1.02893853558015,0.984166089568498,0.947523897525355,5,0.93252088900023,"Cons N Cíclico / Pr Pessoal Limp"
0.0168969659903321,1.06076395982216,1.90776217334664,0.524743843027029,5,1.00108645442351,"Const e Transp / Constr e Engenh"
0.0203490712504017,1.08111282953643,2.40591078253224,0.423671086611127,5,1.01931483552486,"Consumo Cíclico / Tecid Vest Calç"
0.0698236290711169,1.10909268979537,1.08713980977283,0.936282568346135,5,1.01787005324543,"Utilidade Públ / Água Saneamento"
0.057735232188066,1.07620142901691,1.37113238541516,0.717286023655751,6,0.983494096640066,"Bens Indls / Mat Transporte"
0.0185444941934403,1.06037656800719,1.47414514616065,0.678096444208579,6,0.999612581858875,"Cons N Básico / Alimentos Processados"
0.0222597435167038,1.0939527748887,1.99466913789022,0.507362754532988,6,1.01202082818192,"Cons N Cíclico / Bebidas"
0.0255276923363493,1.04215798911878,1.17062370138256,0.813659676791644,6,0.952489302511569,"Cons N Cíclico / Fumo"
