"volatilidade" "coeficiente_B" "risco" "distancia_euclidiana" "sse_volatilidade" "sse_coeficiente_b" "periodo" "sse" "a" "setor" "b_volatilidade" "cor"
0.832594058482347 1.16601045899087 "conservador" 0.2365236159686 0.0316653014960702 0.0242781194147917 2009 0.00662789164024191 1.05000987713921 "Consumo Cíclico / Tecid Vest Calç" 0.970813380284069 "black"
1.03544143093615 1.01587707968851 "conservador" 0.0255397520431234 0.000620005223833434 3.2273710590791e-05 2009 0.0199269694858814 1.06688419565461 "Bens Indls / Mat Transporte" 1.05188121704791 "black"
1.13487596089828 0.882927398108991 "moderado" 0.016524590445232 0.0001772238924961 9.58381968865528e-05 2009 0.0289098153862102 1.07060349490223 "Cons N Cíclico / Pr Pessoal Limp" 1.00201307933236 "black"
1.14740628193056 0.778305864803583 "moderado" 0.0982900335217984 0.000667853798760705 0.00899307689095556 2009 0.00814609279643165 1.03795164704518 "Utilidade Públ / Água Saneamento" 0.893033038539031 "red"
1.17175308025841 0.822180348286055 "moderado" 0.0715238016696695 0.00251900255229534 0.00259665165298688 2009 0.0134455303991332 1.03530322842203 "Const e Transp / Constr e Engenh" 0.963392355632117 "red"
1.30693036904807 0.721305522298522 "arrojado" 0.055248286072489 0.00193488054224727 0.00111749257170031 2009 0.0541827009662542 1.06420974837648 "Cons N Básico / Alimentos Processados" 0.942696092454017 "red"
0.906723846113853 1.1460864096439 "conservador" 0.16533878479283 0.00972805012255841 0.0176088636342112 2012 0.00847996504121254 1.0589702722959 "Cons N Cíclico / Bebidas" 1.03918387733113 "red"
0.9588340146454 1.05677871186897 "conservador" 0.0636154768657677 0.00216417642242255 0.00188275247443647 2012 0.029774037666644 1.05498221266621 "Utilidade Públ / Água Saneamento" 1.01327537489312 "black"
1.10656230353259 0.858662674427697 "moderado" 0.0416240964734842 2.71629235652729e-05 0.00170540248366865 2012 0.00921561541879781 1.02665789057807 "Bens Indls / Mat Transporte" 0.95016374697217 "black"
1.14341530179856 0.824895427506805 "moderado" 0.0860465962747337 0.00176944777233021 0.0056345689581368 2012 0.00817765736792547 1.04446784333508 "Cons N Cíclico / Pr Pessoal Limp" 0.943198054194947 "black"
1.15021990400268 0.856062740165976 "moderado" 0.0656895540912604 0.00238821890546345 0.00192689861124517 2012 0.0635658429771296 1.07257181469392 "Consumo Cíclico / Tecid Vest Calç" 0.984660402813978 "red"
1.23620661142095 0.77564132944766 "arrojado" 0.00702036323639105 6.0949238167923e-06 4.31905761540787e-05 2012 0.060349760375563 1.08380679509215 "Cons N Cíclico / Fumo" 0.958852939554531 "red"
1.23690831276066 0.789094238949443 "arrojado" 0.0201026801844344 3.12260215631005e-06 0.000400995148441341 2012 0.0250272908848475 1.05973550491754 "Cons N Básico / Alimentos Processados" 0.976037223708115 "red"
1.35879275166745 0.688595753846449 "arrojado" 0.144582784782166 0.014428177842273 0.00647600381309325 2012 0.0353737978655645 1.07119462638473 "Const e Transp / Constr e Engenh" 0.935658919155538 "red"
0.925772764738051 1.03920597425387 "conservador" 0.0736211573429143 0.00524693129751341 0.000173143510996743 2008 0.0181402478775938 1.01412663423158 "Consumo Cíclico / Tecid Vest Calç" 0.962068587917308 "black"
1.02053197949511 1.00314980091428 "conservador" 0.0319788538744509 0.000498339106775534 0.000524307988347952 2008 0.00581834117630385 1.0281578624185 "Bens Indls / Mat Transporte" 1.02374645205718 "black"
1.03292072530493 0.990361317733037 "conservador" 0.0497840292159794 0.00120494071593229 0.0012735088490452 2008 0.0122748385584646 1.03380079516116 "Cons N Básico / Alimentos Processados" 1.02296473062676 "black"
1.03322364885308 1.01104772050709 "conservador" 0.0380927602994854 0.00122606279810602 0.000224995589128024 2008 0.0129952604623517 1.04260713152978 "Utilidade Públ / Água Saneamento" 1.04463841494692 "red"
1.07148720273062 0.923796175931291 "moderado" 0.0963743325878644 0.00445777030225976 0.00483024167949654 2008 0.0165477982288428 1.03546759439704 "Const e Transp / Constr e Engenh" 0.989835780441863 "red"
1.10277192959094 0.914617237992513 "moderado" 0.069982726954364 0.00125895876538063 0.00363862330658843 2008 0.0944308891881423 1.13658247309294 "Cons N Cíclico / Fumo" 1.00861421637814 "red"
1.36552898848696 0.69567452845372 "arrojado" 0.111467053569784 0.00958923842151144 0.00283566561001771 2008 0.0650058564114133 1.08543394979709 "Cons N Cíclico / Pr Pessoal Limp" 0.949963735155549 "red"
1.00550126196149 1.0097080200138 "conservador" 0.0364395418135729 0.000420593280313399 0.000907246927269728 2011 0.0440415537997113 1.05137223619304 "Cons N Básico / Alimentos Processados" 1.01526268833651 "black"
1.01341756816474 0.976873803584543 "conservador" 0.0690743340513853 0.000807962273055256 0.00396330135158712 2011 0.0601915855692173 1.12659788984626 "Cons N Cíclico / Bebidas" 0.989981074432491 "black"
1.05561208761907 0.965265875930175 "moderado" 0.0935196553369335 0.00319037055350465 0.00555555538083419 2011 0.0363281087562845 1.0657185623089 "Bens Indls / Mat Transporte" 1.0189463263981 "black"
1.06664728094516 0.85260197126568 "moderado" 0.0593237228874995 0.00206553633407347 0.00145376776315936 2011 0.0266809302533819 1.01848375323684 "Cons N Cíclico / Fumo" 0.909425574379024 "red"
1.15217293637912 0.838485650634298 "moderado" 0.0658460762318404 0.00160620468198673 0.00272950107314262 2011 0.0278302136893018 1.05055971148026 "Consumo Cíclico / Tecid Vest Calç" 0.966080474203076 "red"
