"coeficiente_B" "risco" "distancia_euclidiana" "sse_coeficiente_b" "periodo" "sse" "a" "volatilidade" "setor" "b_volatilidade" "cor"
0.69567452845372 "conservador" 0.088967140621522 0.00791515211036967 2008 0.0650058564114133 1.08543394979709 1.36552898848696 "Cons N Cíclico / Pr Pessoal Limp" 0.949963735155549 "green"
0.914617237992513 "moderado" 0.0363348221947795 0.00132021930392624 2008 0.0944308891881423 1.13658247309294 1.10277192959094 "Cons N Cíclico / Fumo" 1.00861421637814 "black"
0.923796175931291 "moderado" 0.0271558842560015 0.000737442049725348 2008 0.0165477982288428 1.03546759439704 1.07148720273062 "Const e Transp / Constr e Engenh" 0.989835780441863 "green"
0.990361317733037 "moderado" 0.0394092575457445 0.00155308958030682 2008 0.0122748385584646 1.03380079516116 1.03292072530493 "Cons N Básico / Alimentos Processados" 1.02296473062676 "green"
1.00314980091428 "moderado" 0.0521977407269876 0.00272460413700182 2008 0.00581834117630385 1.0281578624185 1.02053197949511 "Bens Indls / Mat Transporte" 1.02374645205718 "green"
1.01104772050709 "moderado" 0.0600956603197975 0.00361148838927249 2008 0.0129952604623517 1.04260713152978 1.03322364885308 "Utilidade Públ / Água Saneamento" 1.04463841494692 "green"
1.03920597425387 "moderado" 0.0882539140665775 0.00778875334807084 2008 0.0181402478775938 1.01412663423158 0.925772764738051 "Consumo Cíclico / Tecid Vest Calç" 0.962068587917308 "green"
0.721305522298522 "conservador" 0.0609680689107218 0.00371710542670252 2009 0.0541827009662542 1.06420974837648 1.30693036904807 "Cons N Básico / Alimentos Processados" 0.942696092454017 "green"
0.778305864803583 "conservador" 0.00396772640566079 1.57428528301779e-05 2009 0.00814609279643165 1.03795164704518 1.14740628193056 "Utilidade Públ / Água Saneamento" 0.893033038539031 "black"
0.822180348286055 "conservador" 0.0399067570768112 0.00159254926038762 2009 0.0134455303991332 1.03530322842203 1.17175308025841 "Const e Transp / Constr e Engenh" 0.963392355632117 "green"
0.882927398108991 "moderado" 0.0671708351981339 0.00451192110121487 2009 0.0289098153862102 1.07060349490223 1.13487596089828 "Cons N Cíclico / Pr Pessoal Limp" 1.00201307933236 "green"
1.01587707968851 "moderado" 0.065778846381385 0.00432685663126584 2009 0.0199269694858814 1.06688419565461 1.03544143093615 "Bens Indls / Mat Transporte" 1.05188121704791 "green"
1.16601045899087 "arrojado" 0.0600968562021349 0.00361163212538008 2009 0.00662789164024191 1.05000987713921 0.832594058482347 "Consumo Cíclico / Tecid Vest Calç" 0.970813380284069 "green"
1.27188284780884 "arrojado" 0.165969245020105 0.0275457902925436 2009 0.0624617353430477 1.14012827360795 0.846242677501385 "Cons N Cíclico / Fumo" 1.07632154659784 "green"
0.736004713269571 "conservador" 0.0487304778193333 0.00237465946850053 2010 0.0408059259304695 1.07436660788614 1.2697065537858 "Cons N Cíclico / Pr Pessoal Limp" 0.934510008055615 "green"
0.749775514007452 "conservador" 0.0349596770814522 0.00122217902163941 2010 0.0468079836932267 1.07211370043995 1.29885403766449 "Cons N Básico / Alimentos Processados" 0.973848953710546 "black"
0.776933110999289 "conservador" 0.00780208008961525 6.08724537247707e-05 2010 0.04637710584737 1.0758110553176 1.25774529920736 "Const e Transp / Constr e Engenh" 0.977183968157907 "green"
0.954107248950024 "moderado" 0.0027029596660425 7.3059909562526e-06 2010 0.0438155418155188 1.12640244627135 1.07007398399247 "Cons N Cíclico / Bebidas" 1.02096534504005 "green"
0.979621142337489 "moderado" 0.0228109337214225 0.000520338697243131 2010 0.0248352418968517 1.09261913594685 1.0514941049 "Utilidade Públ / Água Saneamento" 1.03006585620327 "green"
0.990146983764755 "moderado" 0.0333367751486885 0.00111134057731421 2010 0.0531025032887758 1.11114525496972 1.05239233633133 "Cons N Cíclico / Fumo" 1.04202309755561 "green"
1.1815833153882 "arrojado" 0.0130765900930032 0.00017099720846043 2010 0.0460377096616709 1.1077154894009 0.912236816905008 "Bens Indls / Mat Transporte" 1.0778838025378 "green"
0.73091534955865 "conservador" 0.0421745132831961 0.00177868957067448 2011 0.0609371497031637 1.08109000985291 1.32100095864352 "Const e Transp / Constr e Engenh" 0.965539877454239 "green"
0.823519271926956 "conservador" 0.0504294090851098 0.00254312530067336 2011 0.00614935512110403 1.04689939959517 1.1738102076862 "Cons N Cíclico / Pr Pessoal Limp" 0.966655327614168 "black"
0.838485650634298 "conservador" 0.0653957877924519 0.0042766090609954 2011 0.0278302136893018 1.05055971148026 1.15217293637912 "Consumo Cíclico / Tecid Vest Calç" 0.966080474203076 "green"
0.842858698503814 "conservador" 0.0697688356619679 0.00486769042962668 2011 0.0266588582524577 1.08958289343503 1.19042633511942 "Utilidade Públ / Água Saneamento" 1.00336119148342 "green"
0.85260197126568 "conservador" 0.0795121084238339 0.00632217538600352 2011 0.0266809302533819 1.01848375323684 1.06664728094516 "Cons N Cíclico / Fumo" 0.909425574379024 "green"
0.965265875930175 "moderado" 0.0100096853405668 0.000100193800617158 2011 0.0363281087562845 1.0657185623089 1.05561208761907 "Bens Indls / Mat Transporte" 1.0189463263981 "green"
0.976873803584543 "moderado" 0.0216176129949348 0.000467321191598774 2011 0.0601915855692173 1.12659788984626 1.01341756816474 "Cons N Cíclico / Bebidas" 0.989981074432491 "green"
1.0097080200138 "moderado" 0.0544518294241918 0.00296500172764128 2011 0.0440415537997113 1.05137223619304 1.00550126196149 "Cons N Básico / Alimentos Processados" 1.01526268833651 "green"
